DateTime,AddedIPs,RemovedIPs
1480684633,78,0
1480699045,35,0
1480713442,52,0
1480728433,36,0
1480742835,29,0
1480757232,27,0
1480771640,39,0
1480786039,28,0
1480800432,48,0
1480815166,43,0
1480829550,36,0
1480843936,25,0
1480858332,14,0
1480872741,5,0
1480887133,15,0
1480901573,14,1
1480915939,10,0
1480930331,72,0
1480944751,86,0
1480959147,112,0
1480974446,96,0
1480990049,103,0
1481004462,84,0
1481018834,113,0
1481034432,85,0
1481049133,71,1
1481064431,47,0
1481078831,35,0
1481094734,40,0
1481110033,29,0
1481124863,39,0
1481140036,126,0
1481154730,25,0
1481169135,40,0
1481183305,69,0
1481197638,72,0
1481212041,40,0
1481226434,45,0
1481240833,37,0
1481255240,48,0
1481269633,47,0
1481284031,50,0
1481298443,18,0
1481312834,27,0
1481327233,29,0
1481341643,45,0
1481356034,33,0
1481370434,19,0
1481384840,21,0
1481399232,29,1
1481413637,72,0
1481428043,33,0
1481442433,42,0
1481456833,3,0
1481471242,28,0
1481485633,84,0
1481500035,63,0
1481514437,25,0
1481528832,29,0
1481543236,25,0
1481557642,36,0
1481572034,60,0
1481586434,31,0
1481600841,27,0
1481615233,55,0
1481629634,61,0
1481644041,15,0
1481658432,17,0
1481672833,56,0
1481687533,22,0
1481701937,14,0
1481716335,48,0
1481730742,63,0
1481745135,41,0
1481759533,33,0
1481773936,34,0
1481788332,51,0
1481802747,25,0
1481817434,50,0
1481831832,40,0
1481846232,9,0
1481860637,40,0
1481875033,46,0
1481889432,25,0
1481903844,21,0
1481918235,45,0
1481932631,32,0
1481947344,30,0
1481962045,44,0
1481976434,34,0
1481991132,18,0
1482005531,25,0
1482019933,20,0
1482034331,24,0
1482048731,26,0
1482063132,11,0
1482078133,5,0
1482092840,80,0
1482107234,34,0
1482121635,26,0
1482136034,90,0
1482150431,58,0
1482165432,29,0
1482179843,18,0
1482194232,19,0
1482208932,78,0
1482223634,7,0
1482238040,27,0
1482252439,26,0
1482266841,70,0
1482281249,15,0
1482295633,16,0
1482310034,58,0
1482324441,44,0
1482338836,38,0
1482353235,55,0
1482367642,11,0
1482382041,33,0
1482396440,40,0
1482410840,38,0
1482425232,33,0
1482439632,27,0
1482454632,35,0
1482469034,34,0
1482483433,21,0
1482497832,32,0
