DateTime,Entries,UniqueIPs
1478043430,126625,126625
1478057830,126635,126635
1478072230,126651,126651
1478086632,126667,126667
1478101031,126686,126686
1478115429,126712,126712
1478129831,126733,126733
1478144232,126743,126743
1478158632,126755,126755
1478173031,126760,126760
1478187432,126774,126774
1478201832,126783,126783
1478216232,126795,126795
1478230631,126803,126803
1478245032,126811,126811
1478259431,126817,126817
1478273831,126823,126823
1478288229,126833,126833
1478302631,126838,126838
1478317331,126845,126845
1478332030,126849,126849
1478346432,126860,126860
1478360839,126870,126870
1478375231,126879,126879
1478389633,126888,126888
1478404032,126895,126895
1478418434,126910,126910
1478432829,126918,126918
1478447239,126919,126919
1478461632,126923,126923
1478476032,126929,126929
1478490436,126941,126941
1478504831,126944,126944
1478519229,126949,126949
1478533638,126954,126954
1478548029,126961,126961
1478562431,126966,126966
1478576839,126977,126977
1478591233,126983,126983
1478605631,126989,126989
1478620047,127008,127008
1478634431,127060,127060
1478648833,127091,127091
1478663244,127123,127123
1478677633,127153,127153
1478692338,127172,127172
1478706732,127190,127190
1478721132,127206,127206
1478735530,127228,127228
1478749931,127244,127244
1478764334,127255,127255
1478778731,127273,127273
1478793134,127292,127292
1478807533,127308,127308
1478821932,127324,127324
1478836333,127332,127332
1478850734,127342,127342
1478865133,127354,127354
1478879534,127370,127370
1478893934,127386,127386
1478908333,127402,127402
1478922730,127416,127416
1478937133,127426,127426
1478951533,127444,127444
1478966233,127455,127455
1478980634,127470,127470
1478995032,127483,127483
1479009429,127491,127491
1479023833,127500,127500
1479038230,127512,127512
1479052632,127526,127526
1479067030,127536,127536
1479081430,127554,127554
1479095833,127567,127567
1479110231,127586,127586
1479124630,127598,127598
1479139031,127611,127611
1479153432,127622,127622
1479167832,127636,127636
1479182230,127653,127653
1479196641,127662,127662
1479211042,127673,127673
1479225444,127683,127683
1479239833,127700,127700
1479254233,127712,127712
1479268629,127717,127717
1479283031,127730,127730
1479297433,127745,127745
1479311833,127765,127765
1479326233,127776,127776
1479340631,127788,127788
1479355035,127808,127808
1479369741,127818,127818
1479384430,127832,127832
1479398834,127847,127847
1479413533,127859,127859
1479427938,127870,127870
1479442334,127884,127884
1479456731,127900,127900
1479471132,127913,127913
1479485533,127916,127916
1479499931,127934,127934
1479514329,127950,127950
1479528729,127959,127959
1479543132,127966,127966
1479557531,127979,127979
1479571933,127989,127989
1479586329,127999,127999
1479601034,128010,128010
1479615431,128023,128023
1479629832,128035,128035
1479644233,128040,128040
1479658634,128049,128049
1479673031,128058,128058
1479687432,128065,128065
1479702135,128072,128072
1479716835,128080,128080
1479731233,128087,128087
1479745631,128092,128092
1479760034,128097,128097
1479774435,128108,128108
1479788831,128114,128114
1479803232,128130,128130
1479817634,128157,128157
1479832032,128206,128206
1479846436,128238,128238
1479860833,128260,128260
1479875236,128275,128275
1479889636,128287,128287
1479904035,128298,128298
1479918434,128314,128314
1479933132,128326,128326
1479947532,128358,128358
1479961930,128377,128377
1479976332,128397,128397
1479990734,128417,128417
1480005140,128430,128430
1480019534,128458,128458
1480033936,128474,128474
1480048336,128491,128491
1480062733,128498,128498
1480077134,128513,128513
1480091829,128521,128521
1480106239,128542,128542
1480120639,128553,128553
1480135034,128571,128571
1480149430,128583,128583
1480163835,128644,128644
1480178233,128706,128706
1480192635,128784,128784
1480207034,128844,128844
1480221430,128862,128862
1480235834,128879,128879
1480250234,128895,128895
1480264631,128900,128900
1480279035,128914,128914
1480293730,128926,128926
1480308431,128941,128941
1480322830,128951,128951
1480337239,128962,128962
1480351635,128972,128972
1480366034,128991,128991
1480380434,129007,129007
1480394834,129020,129020
1480409234,129032,129032
1480423634,129060,129060
1480438030,129071,129071
1480452434,129099,129099
1480467430,129111,129111
1480481830,129127,129127
1480496231,129150,129150
1480510634,129175,129175
1480525034,129192,129192
1480539433,129207,129207
1480554429,129232,129232
1480568831,129273,129273
1480583230,129313,129313
1480597930,129351,129351
1480612340,129379,129379
1480626733,129414,129414
1480641433,129448,129448
1480655833,129470,129470
1480670233,129514,129514
1480684633,129592,129592
1480699045,129627,129627
1480713442,129679,129679
1480728433,129715,129715
1480742835,129744,129744
1480757232,129771,129771
1480771640,129810,129810
1480786039,129838,129838
1480800432,129886,129886
1480815166,129929,129929
1480829550,129965,129965
1480843936,129990,129990
1480858332,130004,130004
1480872741,130009,130009
1480887133,130024,130024
1480901573,130037,130037
1480915939,130047,130047
1480930331,130119,130119
1480944751,130205,130205
1480959147,130317,130317
1480974446,130413,130413
1480990049,130516,130516
1481004462,130600,130600
1481018834,130713,130713
1481034432,130798,130798
1481049133,130868,130868
1481064431,130915,130915
1481078831,130950,130950
1481094734,130990,130990
1481110033,131019,131019
1481124863,131058,131058
1481140036,131184,131184
1481154730,131209,131209
1481169135,131249,131249
1481183305,131318,131318
1481197638,131390,131390
1481212041,131430,131430
1481226434,131475,131475
1481240833,131512,131512
1481255240,131560,131560
1481269633,131607,131607
1481284031,131657,131657
1481298443,131675,131675
1481312834,131702,131702
1481327233,131731,131731
1481341643,131776,131776
1481356034,131809,131809
1481370434,131828,131828
1481384840,131849,131849
1481399232,131877,131877
1481413637,131949,131949
1481428043,131982,131982
1481442433,132024,132024
1481456833,132027,132027
1481471242,132055,132055
1481485633,132139,132139
1481500035,132202,132202
1481514437,132227,132227
1481528832,132256,132256
1481543236,132281,132281
1481557642,132317,132317
1481572034,132377,132377
1481586434,132408,132408
1481600841,132435,132435
1481615233,132490,132490
1481629634,132551,132551
1481644041,132566,132566
1481658432,132583,132583
1481672833,132639,132639
1481687533,132661,132661
1481701937,132675,132675
1481716335,132723,132723
1481730742,132786,132786
1481745135,132827,132827
1481759533,132860,132860
1481773936,132894,132894
1481788332,132945,132945
1481802747,132970,132970
1481817434,133020,133020
1481831832,133060,133060
1481846232,133069,133069
1481860637,133109,133109
1481875033,133155,133155
1481889432,133180,133180
1481903844,133201,133201
