DateTime,Entries,UniqueIPs
1480709113,3017,3017
1480723508,3027,3027
1480737912,2949,2949
1480752307,2928,2928
1480766709,2904,2904
1480781107,2888,2888
1480795506,2458,2458
1480809906,2405,2405
1480824307,2350,2350
1480838708,2368,2368
1480853107,2354,2354
1480867506,2343,2343
1480881906,2341,2341
1480896307,2346,2346
1480910707,2343,2343
1480925106,2402,2402
1480939506,2470,2470
1480953907,2725,2725
1480968307,2789,2789
1480982707,2794,2794
1480997113,2746,2746
1481011507,2747,2747
1481025907,2769,2769
1481040307,2768,2768
1481054708,2759,2759
1481069108,2742,2742
1481083507,2707,2707
1481097906,2668,2668
1481112307,2644,2644
1481126712,2621,2621
1481141113,2630,2630
1481155506,2615,2615
1481169906,2602,2602
1481184307,2657,2657
1481198711,2671,2671
1481213110,2682,2682
1481227519,2666,2666
1481241909,2681,2681
1481256316,2705,2705
1481270707,2711,2711
1481285111,2765,2765
1481299511,2780,2780
1481313911,2773,2773
1481328310,2804,2804
1481342721,2762,2762
1481357107,2784,2784
1481371517,2782,2782
1481385914,2875,2875
1481400321,2934,2934
1481414708,3298,3298
1481429205,3393,3393
1481443513,3432,3432
1481457927,3495,3495
1481472316,3538,3538
1481486713,3573,3573
1481501116,3609,3609
1481515508,3628,3628
1481529908,3654,3654
1481544309,3640,3640
1481558708,3536,3536
1481573108,3095,3095
1481587510,3327,3327
1481601916,3267,3267
1481616308,3264,3264
1481630710,3098,3098
1481645126,3096,3096
1481659510,3180,3180
1481673908,3172,3172
1481688310,3108,3108
1481702707,3177,3177
1481717108,3297,3297
1481731510,3322,3322
1481745921,3421,3421
1481760308,3530,3530
1481774708,3560,3560
1481789108,3793,3793
1481803518,3786,3786
1481817956,3528,3528
1481832309,3393,3393
1481846714,3391,3391
1481861109,3372,3372
1481875510,3357,3357
1481889909,3329,3329
1481904307,3287,3287
1481918708,3287,3287
1481933115,3295,3295
1481947512,3312,3312
1481961908,3279,3279
1481976318,3478,3478
1481990708,3610,3610
1482005119,3629,3629
1482019509,3610,3610
1482033913,3630,3630
1482048309,3693,3693
1482062710,3354,3354
1482077111,3329,3329
1482091515,3353,3353
1482105911,3359,3359
1482120308,3392,3392
1482134709,3403,3403
1482149108,3369,3369
1482163508,3371,3371
1482177934,3382,3382
1482192307,3325,3325
1482206708,3259,3259
1482221108,3487,3487
1482235509,3533,3533
1482249908,3539,3539
1482264309,3617,3617
1482278711,3547,3547
1482293108,3706,3706
1482307512,3783,3783
1482321915,3816,3816
1482336310,3887,3887
1482350709,3888,3888
1482365116,3852,3852
1482379508,3905,3905
1482393909,3890,3890
1482408308,3824,3824
1482422708,3685,3685
1482437116,3623,3623
