DateTime,Entries,UniqueIPs
1485001259,7387,7652
1485012062,7372,7636
1485022259,7355,7618
1485027656,7345,7604
1485033659,7348,7607
1485039663,7337,7596
1485045062,7311,7569
1485049862,7312,7570
1485055258,7311,7569
1485061258,7305,7562
1485065462,7283,7540
1485071469,7277,7533
1485076859,7279,7535
1485085255,7278,7534
1485090652,7269,7525
1485093653,7270,7526
1485097856,7264,7520
1485102658,7261,7517
1485106856,7254,7510
1485112861,7247,7502
1485118260,7246,7500
1485124258,7242,7496
1485128462,7216,7471
1485133863,7210,7464
1485137459,7213,7467
1485141059,7216,7470
1485147058,7208,7462
1485151859,7188,7443
1485163260,7171,7426
1485186374,7145,7398
1485195372,7122,7374
1485205572,7154,7407
1485211570,7160,7413
1485222970,7133,7386
1485233172,7136,7390
1485244570,7138,7392
1485249371,7132,7386
1485263168,7116,7369
1485266771,7110,7361
1485294971,7072,7323
1485300372,7068,7319
1485306374,7074,7325
1485316572,7039,7289
1485321972,7013,7263
1485335771,6986,7237
1485350435,6971,7222
1485357035,6955,7205
1485363035,6944,7194
1485368435,7078,7329
1485374435,7072,7323
1485381035,7069,7319
1485388233,7073,7323
1485394834,7049,7302
1485407435,7041,7293
1485412236,7029,7281
1485417636,7040,7291
1485423032,7040,7291
1485427831,7033,7283
1485433831,7037,7287
1485439830,7027,7277
1485446430,7013,7263
1485451830,7011,7261
1485457229,7008,7256
1485462630,7016,7264
1485468030,7018,7265
1485473430,7003,7250
1485478831,6990,7238
1485484230,6980,7228
1485489630,6972,7220
1485494429,6976,7224
1485499830,6961,7207
1485505829,6959,7206
1485511230,6968,7215
1485516030,6952,7199
1485522029,6948,7195
1485527431,6920,7167
1485531630,6908,7153
1485537030,6907,7153
1485540624,6908,7154
1485546030,6896,7142
1485552030,6890,7136
1485557430,6865,7111
1485562831,6875,7121
1485568230,6865,7111
1485574231,6856,7102
1485579030,6861,7108
1485584429,6834,7079
1485589830,6829,7074
1485595230,6813,7058
1485600031,6809,7054
1485605431,6804,7049
1485611432,6800,7045
1485616832,6792,7037
1485622232,6791,7036
1485627631,6791,7037
1485633031,6783,7029
1485638431,6777,7023
1485645032,6776,7022
1485650431,6767,7013
1485657030,6759,7004
1485661830,6761,7006
1485666629,6759,7003
1485672630,6750,6994
1485678030,6740,6984
1485684030,6733,6976
1485688831,6730,6973
1485694231,6724,6968
1485700230,6714,6958
1485704431,6713,6957
1485710433,6909,7154
1485715830,6909,7154
1485722431,6902,7147
1485729631,6903,7149
1485736230,6909,7155
1485742230,6887,7133
1485748830,6891,7137
1485754230,6886,7130
1485759630,6905,7150
1485765032,6888,7133
1485770429,6880,7125
1485775830,6882,7127
1485781232,6877,7122
1485786631,6872,7117
1485792030,6865,7110
1485797431,6863,7108
1485802830,6854,7099
1485808831,6856,7102
1485813632,6854,7100
1485819631,6835,7081
1485826830,6816,7062
1485833431,6807,7053
1485838830,6798,7045
1485844230,6804,7051
1485849631,6795,7043
1485855631,6788,7036
1485860432,6787,7035
1485865831,6775,7023
1485871831,6774,7022
1485876631,6773,7021
1485881432,6774,7022
1485887431,6914,7166
1485894031,6898,7150
1485900632,6892,7144
1485907830,6904,7156
1485915631,6879,7130
1485922831,6873,7123
1485929431,6857,7105
1485934231,6864,7112
1485940230,6848,7093
1485944431,6844,7088
1485949831,6847,7091
1485955849,6855,7099
1485960631,6843,7086
1485966631,6832,7076
1485972031,6827,7071
1485977431,6828,7073
1485982831,6825,7069
1485989431,6809,7053
1485996631,6815,7059
1486003831,6797,7041
