DateTime,AddedIPs,RemovedIPs
1482015667,74,266
1482027674,192,0
1482042075,131,71
1482055870,104,354
1482063674,42,82
1482077468,158,0
1482091873,273,132
1482104468,103,243
1482118867,157,156
1482126068,76,181
1482138667,145,0
1482153067,136,47
1482165665,67,316
1482175868,209,124
1482186672,126,0
1482200473,144,208
1482214862,72,70
1482228063,129,319
1482239464,75,115
1482249661,87,138
1482260463,119,0
1482270664,174,112
1482282071,53,198
1482295866,157,150
1482309662,82,173
1482321666,203,129
1482332469,107,99
1482345668,208,50
1482355870,46,141
1482367263,163,49
1482381664,140,161
1482394875,170,101
1482409269,130,158
1482423063,77,235
1482435660,152,62
1482447660,84,160
1482458463,145,146
1482469856,38,170
1482481858,101,215
1482492657,92,169
1482503456,141,0
1482514259,114,157
1482525064,235,94
1482535867,104,161
1482549667,159,70
1482564062,127,133
1482577865,131,84
1482592269,87,142
1482603068,253,141
1482615664,114,89
1482622860,84,206
1482651667,255,296
1482664272,124,97
1482678665,145,151
1482693066,206,123
1482702668,89,78
1482714652,96,294
1482728466,140,0
1482741069,162,120
1482752466,74,138
1482764467,77,208
1482775263,83,0
1482786059,236,85
1482796263,82,109
1482810064,124,136
1482824461,89,190
1482836465,156,88
1482847261,64,103
1482857457,104,108
1482868866,117,155
1482879065,170,58
1482891067,118,152
1482905464,138,156
1482912668,51,143
1482927070,167,112
1482939068,104,112
1482949271,202,60
1482960066,128,140
1482972068,180,116
1482979265,92,142
1482993067,130,86
1483005668,87,168
1483016464,108,94
1483027859,99,91
1483039862,199,110
1483050661,93,172
1483062061,58,98
1483069860,105,165
1483083062,109,122
1483093865,120,154
1483104664,66,90
1483115467,151,91
1483125669,160,104
1483137670,142,0
1483150270,109,230
1483157470,113,145
1483171866,145,98
1483184464,113,84
1483197661,92,119
1483208464,207,75
1483220464,124,112
1483233664,111,145
1483246864,85,105
1483259468,152,254
1483271468,116,109
1483285260,126,125
1483294861,102,104
1483306866,241,0
1483320064,81,134
1483334458,111,143
1483346461,134,293
1483358463,128,164
1483372261,133,64
1483383662,194,122
1483395068,192,157
1483403467,132,180
1483411265,94,0
1483418465,80,171
1483426867,72,0
1483440071,158,100
1483447262,101,115
1483476063,243,221
1483489263,183,89
1483503665,122,83
1483517464,115,200
1483531862,130,246
1483546268,124,255
1483557664,151,0
