DateTime,Entries,UniqueIPs
1481999466,4981,5128
1482004868,4972,5120
1482015667,4969,5117
1482027674,4987,5133
1482042075,4964,5108
1482055870,4932,5073
1482063674,4902,5044
1482077468,4912,5050
1482091873,5064,5205
1482104468,5051,5190
1482118867,5059,5200
1482126068,5021,5162
1482138667,5031,5172
1482153067,5011,5152
1482165665,5002,5141
1482175868,5044,5182
1482186672,5045,5185
1482200473,5042,5184
1482214862,5046,5189
1482228063,4993,5132
1482239464,4965,5103
1482249661,4969,5107
1482260463,5025,5163
1482270664,5007,5147
1482282071,4975,5112
1482295866,4970,5105
1482309662,4965,5100
1482321666,4951,5088
1482332469,4925,5060
1482345668,4961,5095
1482355870,4891,5021
1482367263,4912,5045
1482381664,4944,5081
1482394875,4909,5047
1482409269,4915,5052
1482423063,4885,5025
1482435660,4907,5046
1482447660,4895,5034
1482458463,4898,5037
1482469856,4860,4999
1482481858,4840,4978
1482492657,4813,4952
1482503456,4795,4935
1482514259,4813,4954
1482525064,4894,5035
1482535867,4790,4930
1482549667,4791,4931
1482564062,4734,4872
1482577865,4746,4879
1482592269,4738,4871
1482603068,4832,4967
1482615664,4830,4965
1482622860,4765,4896
1482651667,4714,4842
1482664272,4721,4849
1482678665,4698,4825
1482693066,4753,4883
1482702668,4740,4869
1482714652,4668,4798
1482728466,4681,4812
1482741069,4656,4788
1482752466,4621,4752
1482764467,4601,4730
1482775263,4600,4729
1482786059,4678,4806
1482796263,4644,4767
1482810064,4623,4745
1482824461,4608,4732
1482836465,4622,4747
1482847261,4601,4726
1482857457,4601,4726
1482868866,4619,4743
1482879065,4630,4754
1482891067,4610,4736
1482905464,4588,4713
1482912668,4557,4682
1482927070,4590,4717
1482939068,4522,4646
1482949271,4602,4729
1482960066,4635,4762
1482972068,4638,4764
1482979265,4606,4729
1482993067,4586,4709
1483005668,4546,4669
1483016464,4507,4628
1483027859,4492,4610
1483039862,4518,4638
1483050661,4536,4659
1483062061,4512,4631
1483069860,4508,4633
1483083062,4499,4624
1483093865,4509,4634
1483104664,4487,4612
1483115467,4508,4637
1483125669,4576,4705
1483137670,4594,4724
1483150270,4577,4705
1483157470,4538,4666
1483171866,4552,4684
1483184464,4552,4686
1483197661,4537,4671
1483208464,4601,4738
1483220464,4610,4748
1483233664,4576,4712
1483246864,4598,4734
1483259468,4618,4757
1483271468,4596,4734
1483285260,4576,4715
1483294861,4618,4755
1483306866,4715,4857
1483320064,4707,4849
1483334458,4632,4774
1483346461,4646,4790
1483358463,4658,4803
1483372261,4654,4798
1483383662,4738,4883
1483395068,4788,4935
1483403467,4758,4905
1483411265,4728,4874
1483418465,4745,4891
1483426867,4721,4868
1483440071,4760,4907
1483447262,4759,4906
1483476063,4761,4910
1483489263,4777,4927
1483503665,4769,4919
1483517464,4776,4924
1483531862,4723,4873
1483546268,4750,4902
1483557664,4708,4857
1483568460,4685,4835
1483582266,4754,4905
1483589464,4709,4856
1483597266,4693,4839
