DateTime,Entries,UniqueIPs
1485450000,6050,6127
1485453362,6095,6175
1485456962,6124,6204
1485460562,6136,6216
1485464163,6141,6221
1485467762,6151,6231
1485471362,6158,6238
1485474963,6164,6245
1485478562,6171,6252
1485482165,6172,6253
1485485762,6180,6262
1485489363,6189,6272
1485492962,6196,6279
1485496563,6206,6289
1485500162,6214,6297
1485503763,6219,6302
1485507363,6232,6315
1485510962,6236,6319
1485514562,6245,6329
1485518182,6253,6337
1485521762,6258,6342
1485525363,6264,6348
1485528962,6275,6359
1485532562,6288,6372
1485536163,6301,6385
1485539762,6319,6403
1485543362,6357,6441
1485546963,6364,6448
1485550562,6371,6455
1485554162,6380,6464
1485557762,6393,6477
1485561363,6399,6483
1485564962,6402,6486
1485568564,6406,6490
1485572163,6407,6491
1485575762,6414,6498
1485579362,6423,6507
1485582963,6430,6514
1485586563,6443,6529
1485590163,6448,6534
1485593762,6454,6540
1485597362,6462,6548
1485600963,6472,6558
1485604562,6476,6562
1485608163,6483,6569
1485611763,6514,6600
1485615363,6523,6609
1485618963,6534,6621
1485622562,6547,6634
1485626162,6562,6649
1485629762,6584,6672
1485633363,6588,6676
1485636962,6589,6677
1485640562,6611,6699
1485644162,6619,6707
1485647763,6622,6710
1485651363,6626,6714
1485654963,6630,6718
1485658562,6641,6729
1485662163,6647,6735
1485665762,6652,6740
1485669362,6659,6747
1485672963,6666,6754
1485676563,6669,6757
1485680163,6674,6762
1485683763,6677,6765
1485687362,6688,6776
1485690962,6692,6781
1485694563,6701,6790
1485698163,6704,6793
1485701763,6707,6796
1485705363,6718,6807
1485708963,6742,6831
1485712563,6753,6842
1485716162,6759,6848
1485719763,6762,6851
1485723363,6767,6856
1485726962,6774,6863
1485730563,6782,6871
1485734162,6786,6876
1485737763,6790,6880
1485741362,6793,6883
1485748563,6801,6891
1485752162,6802,6892
1485755762,6809,6899
1485759363,6817,6907
1485762963,6822,6912
1485766563,6824,6914
1485770162,6830,6921
1485773762,6838,6929
1485777363,6843,6934
1485780962,6847,6938
1485852963,6875,6966
1485856562,6883,6975
1485860162,6894,6987
1485863762,6914,7007
1485867363,6921,7015
1485870962,6933,7027
1485874562,6939,7034
1485878162,6948,7043
1485881762,6965,7061
1485888962,6976,7072
1485892562,6983,7079
1485896162,6984,7080
1485899763,6990,7086
1485903362,6997,7093
1485906963,7000,7096
1485910563,7005,7101
1485917762,7008,7104
1485921362,7012,7108
1485924963,7020,7116
1485928562,7021,7117
1485932162,7028,7124
1485935763,7036,7133
1485939362,7037,7134
1485942963,7042,7140
1485946563,7048,7147
1485950163,7057,7156
1485953762,7065,7165
1485957362,7069,7169
1485960962,7078,7178
1485964563,7116,7217
1485968163,7126,7227
1485971764,7134,7235
1485975362,7139,7240
1485978962,7147,7248
1485982563,7151,7252
1485986162,7162,7264
1485989763,7167,7269
1485993362,7173,7275
1485996962,7175,7277
1486000563,7176,7278
1486004162,7180,7282
1486007762,7187,7289
1486011363,7190,7292
1486014963,7195,7298
1486018562,7200,7303
1486022163,7209,7312
1486025763,7215,7319
1486029362,7231,7335
1486032963,7245,7349
1486036563,7252,7357
1486040162,7257,7362
1486043763,7263,7369
1486047363,7278,7388
1486050962,7299,7409
1486054562,7301,7411
1486058162,7305,7417
1486061764,7313,7425
1486065364,7322,7434
1486068963,7323,7435
1486072562,7327,7439
1486076162,7332,7444
1486079763,7338,7450
1486086963,7339,7451
1486090562,7341,7453
1486094162,7347,7459
1486097762,7355,7467
1486101362,7358,7470
1486104962,7366,7478
1486108563,7371,7483
1486112162,7372,7485
1486115763,7381,7494
1486119362,7385,7499
1486122963,7387,7502
1486126562,7389,7504
1486130163,7395,7511
1486133762,7411,7527
1486137362,7426,7542
1486140962,7438,7555
1486144562,7447,7564
1486148163,7452,7569
1486151762,7463,7580
1486155363,7468,7585
1486158963,7476,7593
1486162562,7483,7601
1486166162,7476,7594
1486169763,7475,7593
1486176962,7464,7582
1486180562,7462,7580
1486184163,7460,7578
1486187763,7458,7575
1486191362,7455,7572
1486194962,7456,7573
1486198563,7461,7578
1486202163,7439,7557
1486205762,7459,7577
1486209362,7461,7579
1486212962,7471,7589
1486216563,7478,7598
1486220162,7480,7600
1486223762,7453,7572
1486227363,7462,7581
1486230962,7451,7570
1486234562,7462,7581
1486238162,7458,7577
1486241762,7454,7573
1486245362,7460,7579
1486248963,7466,7585
1486252562,7460,7579
1486256163,7461,7580
1486259767,7443,7562
1486263362,7445,7564
1486266962,7438,7557
1486270562,7431,7550
1486274163,7430,7549
1486277763,7433,7552
1486281362,7435,7555
1486284963,7430,7550
1486288563,7423,7543
1486292163,7428,7548
1486295762,7423,7544
1486299363,7425,7547
1486302963,7432,7552
1486306563,7432,7552
1486310163,7437,7557
1486313762,7436,7555
1486317362,7450,7570
1486320962,7438,7558
1486324562,7421,7540
1486328163,7423,7542
1486331762,7431,7550
1486335363,7411,7527
1486338963,7411,7527
1486342563,7408,7524
1486346165,7393,7509
1486349762,7396,7512
1486353363,7373,7489
1486356963,7368,7484
1486360562,7368,7484
1486364162,7372,7488
1486367762,7374,7491
1486371363,7372,7489
