DateTime,Entries,UniqueIPs
1484802059,2331,2391
1484807464,2328,2388
1484812866,2324,2384
1484818262,2325,2385
1484823663,2328,2388
1484829063,2328,2388
1484833859,2328,2388
1484839257,2327,2387
1484844655,2326,2386
1484849455,2325,2385
1484855458,2324,2384
1484860858,2325,2385
1484866861,2322,2382
1484872260,2322,2382
1484877654,2316,2376
1484882454,2312,2372
1484887855,2314,2374
1484893257,2310,2370
1484899261,2309,2369
1484904659,2306,2366
1484909461,2302,2362
1484914862,2299,2359
1484919659,2294,2354
1484925657,2295,2355
1484931059,2292,2352
1484936462,2293,2353
1484941866,2297,2357
1484946661,2294,2354
1484952060,2295,2355
1484958057,2292,2352
1484964659,2291,2350
1484968860,2292,2351
1484974260,2290,2349
1484979660,2287,2346
1484985055,2286,2345
1484990452,2288,2347
1484996460,2286,2344
1485001256,2285,2344
1485006658,2290,2349
1485012059,2288,2347
1485022256,2284,2343
1485027653,2283,2342
1485033656,2288,2347
1485039660,2287,2345
1485045060,2280,2338
1485049860,2282,2340
1485055256,2278,2336
1485061256,2278,2336
1485065459,2276,2334
1485076857,2268,2326
1485085252,2268,2324
1485090650,2263,2319
1485093651,2266,2322
1485097854,2262,2318
1485102656,2259,2315
1485106853,2257,2313
1485112859,2255,2310
1485118258,2256,2311
1485124255,2258,2313
1485128460,2256,2310
1485133859,2257,2311
1485137456,2258,2312
1485147056,2257,2311
1485151856,2258,2312
1485157255,2261,2315
1485163257,2250,2303
1485168650,2252,2305
1485342625,2155,2204
1485350430,2150,2199
1485357031,2151,2200
1485363031,2155,2204
1485368431,2159,2205
1485374431,2157,2203
1485381030,2158,2204
1485388229,2159,2205
1485394830,2152,2198
1485402029,2154,2200
1485407431,2150,2196
1485412232,2148,2194
1485417630,2150,2196
1485423028,2146,2192
1485427827,2148,2194
1485433828,2152,2198
1485439827,2150,2196
1485446427,2151,2197
1485451827,2150,2196
1485457226,2143,2189
1485462627,2146,2192
1485468027,2145,2190
1485473427,2147,2192
1485478827,2147,2191
1485484227,2147,2191
1485489627,2146,2190
1485494426,2149,2193
1485499826,2147,2191
1485505826,2147,2191
1485511226,2152,2196
1485516027,2151,2195
1485522026,2150,2194
1485527427,2146,2191
1485531627,2150,2195
1485537027,2150,2195
1485540621,2151,2196
1485546027,2147,2192
1485552027,2146,2192
1485557427,2144,2190
1485562828,2145,2191
1485568226,2143,2189
1485574227,2139,2185
1485579026,2143,2189
1485584426,2141,2187
1485589826,2144,2190
1485595227,2140,2186
1485600028,2137,2183
1485605428,2137,2183
1485611428,2134,2180
1485616828,2133,2179
1485622229,2133,2179
1485627627,2133,2179
1485633027,2131,2177
1485638427,2129,2175
1485645027,2132,2178
1485650427,2132,2179
1485657026,2129,2174
1485661827,2130,2175
1485666626,2133,2178
1485672626,2133,2178
1485678027,2136,2181
1485684027,2135,2180
1485688827,2136,2182
1485694228,2139,2185
1485700227,2139,2185
1485704427,2141,2187
1485710427,2152,2198
1485715827,2150,2196
1485722427,2148,2193
1485729627,2141,2186
1485736226,2140,2185
1485742227,2140,2185
1485748827,2141,2187
1485754227,2139,2185
1485759627,2138,2184
1485765029,2129,2174
1485770426,2127,2172
1485775827,2131,2176
1485781229,2129,2174
1485786627,2130,2175
1485792027,2130,2175
1485797428,2132,2177
1485802827,2130,2175
1485808827,2133,2178
1485813628,2135,2180
1485819627,2134,2179
1485826827,2129,2174
1485833428,2130,2174
1485838827,2124,2168
1485844227,2130,2174
1485849627,2127,2171
1485855627,2128,2172
1485860428,2130,2173
1485865828,2132,2175
1485871827,2136,2179
1485876627,2132,2175
1485881428,2136,2179
1485887427,2140,2183
1485894028,2130,2173
1485900628,2131,2174
1485907827,2130,2173
1485915627,2130,2173
1485922827,2128,2171
1485929427,2130,2173
1485934227,2132,2175
1485940227,2130,2173
1485944427,2131,2174
1485949828,2135,2178
1485955846,2137,2180
1485960627,2136,2179
1485966627,2135,2178
1485972027,2134,2177
1485977427,2136,2179
1485982827,2133,2176
1485989427,2130,2173
1485996627,2133,2176
1486003827,2136,2177
1486010427,2133,2174
1486015227,2134,2175
1486021227,2131,2172
1486028427,2129,2170
1486035629,2127,2168
1486041028,2128,2169
1486049427,2130,2171
1486055428,2133,2174
1486063227,2125,2166
1486070428,2126,2168
1486078228,2127,2169
1486084227,2128,2170
1486090828,2127,2169
1486096228,2132,2174
1486101626,2131,2173
1486107627,2136,2180
1486113027,2137,2181
1486119628,2137,2181
1486125629,2133,2177
1486131029,2136,2180
1486137628,2139,2184
1486143628,2141,2186
1486149028,2139,2184
1486154427,2143,2188
1486162228,2140,2185
1486169428,2146,2191
1486176629,2142,2187
1486183828,2145,2190
1486190432,2152,2197
1486197635,2147,2192
1486204232,2146,2191
1486209632,2148,2193
1486215633,2150,2198
1486223436,2146,2194
1486229433,2152,2200
1486234832,2147,2195
1486240232,2148,2196
1486246232,2147,2195
1486252232,2140,2188
1486258832,2135,2183
1486266032,2135,2182
1486273232,2140,2187
1486280431,2134,2180
1486287633,2134,2180
1486294233,2133,2179
1486300232,2133,2179
1486307432,2129,2175
1486314032,2130,2176
1486319432,2127,2173
1486325432,2126,2172
1486332632,2125,2171
1486340435,2124,2170
1486347032,2128,2174
1486353631,2132,2178
1486359633,2132,2178
1486364432,2134,2180
1486369832,2130,2176
1486375232,2133,2179
1486380032,2135,2181
1486386033,2134,2180
1486392032,2131,2177
1486396833,2129,2175
1486402833,2130,2176
1486410032,2135,2181
1486414232,2140,2186
1486420232,2137,2183
1486426233,2129,2174
1486432832,2126,2171
1486438232,2128,2173
1486443032,2132,2177
1486449032,2131,2176
1486455032,2130,2175
1486459833,2131,2176
1486465232,2134,2179
1486471233,2128,2173
1486477234,2129,2174
1486484431,2124,2169
1486491633,2126,2171
1486498234,2126,2171
1486505432,2121,2166
1486511433,2121,2166
1486517433,2122,2167
1486522832,2124,2168
1486527632,2124,2168
1486533032,2127,2171
1486539032,2132,2176
1486545032,2136,2180
1486549832,2135,2179
1486555232,2134,2178
1486561232,2136,2180
1486568433,2134,2178
1486575033,2135,2179
1486580432,2134,2178
1486586433,2136,2180
1486591832,2138,2182
1486599032,2136,2179
1486606231,2141,2184
1486612832,2141,2184
1486618231,2139,2182
1486624231,2139,2182
1486630832,2135,2178
1486636233,2132,2174
1486641632,2132,2174
1486647632,2131,2174
1486654832,2133,2176
1486660832,2131,2174
1486666832,2132,2175
1486672832,2131,2174
1486678832,2130,2173
1486684233,2127,2170
1486690232,2128,2171
1486695032,2127,2170
1486700432,2128,2172
1486705835,2130,2174
1486711832,2130,2173
1486717232,2129,2172
1486722632,2131,2174
1486728033,2128,2171
1486733434,2128,2171
1486739432,2123,2166
1486746031,2126,2169
1486751432,2124,2167
1486757432,2129,2170
1486762233,2128,2169
1486767633,2127,2168
1486773033,2130,2171
1486778432,2129,2170
1486784433,2128,2169
1486789232,2131,2172
1486794032,2134,2175
1486800032,2133,2174
1486805432,2137,2178
1486810232,2135,2176
1486816232,2127,2168
1486822232,2123,2164
1486827035,2120,2161
1486831832,2121,2162
1486837231,2120,2161
1486842632,2122,2163
1486848032,2121,2162
1486853432,2121,2162
1486859431,2120,2161
1486864832,2120,2161
1486870232,2121,2162
1486875632,2121,2162
1486881032,2120,2161
1486886433,2122,2163
1486891832,2121,2162
1486896632,2124,2165
1486902031,2124,2165
1486908633,2119,2160
1486915232,2122,2163
1486920632,2118,2159
1486926032,2118,2159
1486931432,2120,2161
1486937453,2122,2163
1486942832,2121,2162
1486947032,2122,2163
1486953631,2116,2157
1486960831,2115,2156
1486967432,2108,2149
1486973433,2112,2153
1486980639,2108,2149
1486987231,2104,2145
1486992632,2106,2147
1486998036,2105,2146
1487003432,2105,2146
1487008831,2103,2144
1487014232,2103,2144
1487019633,2104,2145
1487025032,2102,2144
1487030433,2103,2148
1487036432,2102,2147
1487044232,2104,2149
1487050232,2102,2147
1487055632,2102,2147
1487061632,2099,2144
1487067032,2105,2150
1487071833,2104,2149
1487077232,2102,2147
1487082633,2100,2144
1487088032,2097,2141
1487093432,2098,2142
1487098232,2098,2142
1487103632,2098,2142
1487109633,2099,2143
1487115032,2097,2141
1487121633,2096,2142
1487129435,2095,2141
1487134232,2094,2140
1487140232,2096,2142
1487145032,2089,2135
1487150432,2092,2138
1487155832,2091,2137
1487161232,2088,2134
1487167233,2086,2132
1487172632,2092,2138
1487178033,2093,2140
1487182831,2090,2137
1487188833,2092,2138
1487194233,2095,2141
1487199632,2095,2141
1487205031,2093,2139
1487211035,2096,2142
1487216432,2097,2143
1487222432,2099,2145
1487227833,2099,2145
1487234432,2099,2145
1487241032,2102,2148
1487247036,2101,2147
1487252432,2102,2148
1487257232,2097,2143
1487262632,2094,2140
1487267432,2091,2137
1487273432,2094,2140
1487278833,2097,2143
1487284232,2097,2142
1487289633,2100,2144
1487295632,2097,2141
1487303432,2097,2141
1487308832,2099,2143
1487314231,2096,2140
1487320232,2097,2141
1487325632,2097,2141
1487331032,2091,2135
1487336432,2090,2134
1487341833,2091,2135
1487347232,2092,2136
1487352032,2092,2136
1487357432,2096,2140
1487362832,2095,2139
1487368833,2097,2141
1487374233,2098,2142
1487379633,2098,2142
1487386231,2098,2142
1487392833,2097,2141
1487397632,2099,2143
1487402433,2102,2146
1487407833,2104,2148
1487413233,2102,2147
1487419233,2103,2148
1487425232,2102,2147
1487430034,2102,2147
1487435433,2101,2146
1487440232,2100,2145
1487445633,2102,2147
1487451032,2105,2150
1487457032,2102,2147
1487462433,2100,2145
1487469032,2102,2147
1487475633,2102,2147
1487482233,2101,2146
1487487638,2099,2144
1487492432,2100,2145
1487498433,2098,2143
1487503832,2098,2143
1487509232,2098,2143
1487515232,2099,2144
1487521834,2097,2142
1487527232,2095,2140
1487532033,2094,2139
1487537432,2096,2140
1487542833,2098,2142
1487548833,2096,2140
1487554232,2094,2138
1487560231,2096,2140
1487565032,2097,2141
1487570432,2098,2142
1487575832,2100,2144
1487580633,2095,2139
1487586032,2094,2138
1487592032,2099,2140
1487598033,2096,2137
1487604633,2095,2136
1487609433,2089,2130
1487615432,2089,2130
1487620233,2087,2128
1487626232,2086,2127
1487631033,2083,2124
1487642431,2082,2123
1487647233,2078,2119
1487658632,2081,2122
1487663433,2082,2123
1487669432,2079,2119
1487680233,2082,2122
1487686833,2079,2119
1487693432,2080,2119
1487700032,2079,2118
1487704832,2071,2110
1487710832,2075,2114
1487716233,2070,2108
1487721632,2067,2105
1487726432,2071,2108
1487733053,2073,2110
1487738432,2077,2114
1487743232,2076,2113
1487748033,2076,2113
1487754032,2075,2112
1487758832,2078,2115
1487764832,2077,2114
1487770832,2079,2116
1487775032,2082,2119
1487780432,2084,2121
1487785832,2087,2124
1487796033,2089,2126
1487801432,2091,2128
1487807432,2093,2130
1487813433,2094,2131
1487818832,2096,2133
1487824233,2098,2136
1487833832,2100,2138
1487839832,2103,2141
1487845232,2109,2147
1487850032,2112,2151
1487855432,2114,2153
1487861433,2116,2155
