DateTime,Entries,UniqueIPs
1484792899,5330,5330
1484793378,5331,5331
1484793859,5331,5331
1484794334,5329,5329
1484795054,5331,5331
1484795781,5331,5331
1484796253,5331,5331
1484796737,5331,5331
1484797231,5331,5331
1484797697,5330,5330
1484798174,5331,5331
1484798659,5330,5330
1484799135,5331,5331
1484799631,5330,5330
1484800095,5332,5332
1484800578,5332,5332
1484801055,5333,5333
1484802041,5331,5331
1484802499,5332,5332
1484803457,5330,5330
1484803934,5330,5330
1484804417,5331,5331
1484804898,5333,5333
1484805855,5332,5332
1484806339,5333,5333
1484806820,5332,5332
1484807300,5331,5331
1484807773,5331,5331
1484808258,5331,5331
1484808738,5331,5331
1484809697,5329,5329
1484810175,5329,5329
1484810656,5332,5332
1484811138,5331,5331
1484811624,5331,5331
1484812098,5331,5331
1484812576,5331,5331
1484813057,5331,5331
1484813537,5332,5332
1484814026,5330,5330
1484814502,5331,5331
1484814975,5331,5331
1484815453,5332,5332
1484815937,5331,5331
1484816445,5330,5330
1484817374,5329,5329
1484817855,5329,5329
1484818341,5328,5328
1484818815,5328,5328
1484819563,5328,5328
1484820507,5329,5329
1484820973,5329,5329
1484821458,5329,5329
1484821933,5328,5328
1484822425,5329,5329
1484822897,5330,5330
1484823374,5329,5329
1484824339,5329,5329
1484824820,5328,5328
1484825295,5327,5327
1484825773,5329,5329
1484826260,5328,5328
1484826735,5327,5327
1484827701,5331,5331
1484828186,5330,5330
1484828655,5329,5329
1484829137,5329,5329
1484829615,5330,5330
1484830097,5329,5329
1484831066,5328,5328
1484831540,5328,5328
1484833455,5327,5327
1484833951,5327,5327
1484834451,5327,5327
1484834895,5329,5329
1484835620,5332,5332
1484836094,5330,5330
1484836574,5331,5331
1484837058,5329,5329
1484837537,5330,5330
1484838497,5329,5329
1484838977,5330,5330
1484839463,5329,5329
1484839934,5330,5330
1484840425,5329,5329
1484840893,5329,5329
1484841377,5329,5329
1484842101,5330,5330
1484842581,5329,5329
1484843065,5329,5329
1484843546,5330,5330
1484844014,5329,5329
1484844494,5329,5329
1484844973,5330,5330
1484845706,5329,5329
1484846173,5329,5329
1484846656,5329,5329
1484847137,5330,5330
1484848573,5329,5329
1484849297,5330,5330
1484849778,5329,5329
1484850502,5329,5329
1484851697,5328,5328
