DateTime,Entries,UniqueIPs
1484228178,977,977
1484229140,976,976
1484232020,975,975
1484233457,974,974
1484270184,971,971
1484270654,970,970
1484271162,971,971
1484271615,969,969
1484272098,969,969
1484272573,968,968
1484273064,969,969
1484273535,967,967
1484274982,963,963
1484275455,964,964
1484276909,964,964
1484277375,963,963
1484277853,964,964
1484278822,964,964
1484279300,963,963
1484279782,961,961
1484280257,961,961
1484280738,961,961
1484281219,963,963
1484282177,964,964
1484284583,966,966
1484285553,965,965
1484286508,964,964
1484286974,960,960
1484287459,961,961
1484288422,958,958
1484288895,959,959
1484289378,959,959
1484289853,961,961
1484290342,960,960
1484291773,960,960
1484292259,959,959
1484293697,958,958
1484294192,957,957
1484294657,958,958
1484296579,960,960
1484298502,959,959
1484300176,958,958
1484300657,959,959
1484301138,960,960
1484303773,959,959
1484304265,958,958
1484305246,960,960
1484305702,961,961
1484307621,962,962
1484308102,963,963
1484310979,964,964
1484311936,965,965
1484312907,964,964
1484318894,965,965
1484355862,964,964
1484356337,965,965
1484357295,964,964
1484357777,964,964
1484358260,963,963
1484358735,962,962
1484359457,963,963
1484359933,962,962
1484361378,961,961
1484361855,962,962
1484363296,961,961
1484364252,960,960
1484364738,961,961
1484365699,961,961
1484366902,956,956
1484367377,955,955
1484367860,956,956
1484368338,955,955
1484368813,956,956
1484372657,955,955
1484373137,956,956
1484373641,955,955
1484374098,956,956
1484375057,955,955
1484376980,956,956
1484378655,954,954
1484379137,953,953
1484381785,952,952
1484382255,953,953
1484382737,952,952
1484383214,953,953
1484383701,952,952
1484385134,953,953
1484385620,952,952
1484388268,951,951
1484389693,952,952
1484390654,951,951
1484391865,950,950
1484392580,951,951
1484395457,952,952
1484397411,953,953
1484404530,952,952
1484443452,950,950
1484443935,949,949
1484444419,947,947
1484444893,947,947
1484445378,946,946
1484445856,947,947
1484446339,947,947
1484446814,946,946
1484447297,947,947
1484447774,946,946
1484448259,947,947
1484449235,948,948
1484451142,949,949
1484452104,955,955
1484453297,951,951
1484453774,951,951
1484454251,952,952
1484455213,952,952
1484457138,953,953
1484459549,952,952
1484460255,953,953
1484461217,952,952
1484461702,953,953
1484464102,951,951
1484464574,952,952
1484468899,954,954
1484472031,953,953
1484472493,954,954
1484473455,953,953
1484475376,955,955
1484475856,954,954
1484480177,953,953
1484481855,954,954
1484482332,952,952
1484483293,951,951
1484484733,950,950
1484488347,949,949
1484531055,948,948
1484531547,949,949
1484532256,949,949
1484533697,950,950
1484535627,949,949
1484536099,950,950
1484538017,949,949
1484539935,950,950
1484540420,950,950
1484541856,950,950
1484542340,949,949
1484542845,949,949
1484543295,949,949
1484544739,949,949
1484545214,948,948
1484545698,948,948
1484546177,949,949
1484548097,948,948
1484548576,949,949
1484549539,948,948
1484550500,949,949
1484550977,950,950
1484551456,950,950
1484551942,951,951
1484555052,950,950
1484555535,949,949
1484556018,949,949
1484556496,949,949
1484556973,949,949
1484557456,951,951
1484559374,950,950
1484566335,948,948
1484566816,949,949
1484567773,949,949
1484568258,948,948
1484570174,949,949
1484614826,948,948
1484615299,948,948
1484616973,947,947
1484617454,947,947
1484617948,947,947
1484618898,945,945
1484623223,944,944
1484623697,943,943
1484624189,946,946
1484624657,945,945
1484625135,943,943
1484626102,942,942
1484626580,943,943
1484627056,944,944
1484627536,945,945
1484631158,944,944
1484631615,945,945
1484634252,946,946
1484635214,947,947
1484636902,945,945
1484638814,944,944
1484639776,944,944
1484640263,943,943
1484640735,944,944
1484641216,945,945
1484642175,944,944
1484642655,944,944
1484643135,946,946
1484643653,946,946
1484644099,942,942
1484644574,946,946
1484645056,944,944
1484645543,945,945
1484646015,946,946
1484646976,944,944
1484647700,946,946
1484649618,945,945
1484650094,946,946
1484655133,945,945
1484655623,946,946
1484656092,945,945
1484662338,944,944
1484662815,945,945
1484701699,944,944
1484702179,945,945
1484702655,944,944
1484703137,945,945
1484703616,943,943
1484704095,943,943
1484704574,943,943
1484706495,942,942
1484706975,942,942
1484707458,943,943
1484707936,942,942
1484708437,941,941
1484708902,940,940
1484709857,939,939
1484710335,939,939
1484711298,940,940
1484711774,941,941
1484712255,940,940
1484712752,939,939
1484713694,940,940
1484714178,939,939
1484714655,939,939
1484715142,940,940
1484716097,939,939
1484717536,938,938
1484718018,937,937
1484718497,938,938
1484719458,937,937
1484719935,936,936
1484720422,935,935
1484721377,936,936
1484722337,934,934
1484722863,935,935
1484723299,935,935
1484725701,932,932
1484726175,931,931
1484726900,932,932
1484727385,931,931
1484728817,930,930
1484730498,931,931
1484731459,930,930
1484731941,929,929
1484734107,927,927
1484734580,927,927
1484735536,928,928
1484737464,929,929
1484743695,928,928
1484744174,929,929
1484789059,925,925
1484789538,923,923
