DateTime,AddedIPs,RemovedIPs
1466082427,26,39
1466121051,13,26
1466166568,24,0
1466207372,22,24
1466255599,24,44
1466296122,19,21
1466341353,31,21
1466382420,31,20
1466428341,30,21
1466467406,31,35
1466512398,24,0
1466551610,22,17
1466599146,18,28
1466638355,28,12
1466687880,43,22
1466726706,30,47
1466774462,50,16
1466812055,46,0
1466859267,53,38
1466899156,52,0
1466947138,65,51
1466984050,33,0
1467032758,50,33
1467070697,42,18
1467117679,46,45
1467156590,33,29
1467203575,49,17
1467244175,32,0
1467292110,49,70
1467377749,58,41
1467417709,39,79
1467463047,49,0
1467504577,63,92
1467549825,48,0
1467591407,58,86
1467637984,56,46
1467681257,47,44
1467724748,49,47
1467762847,42,0
1467808253,43,56
1467847901,31,70
1467894185,45,0
1467935582,28,49
1467982121,32,31
1468022593,18,0
1468068538,36,50
1468108461,19,49
1468154599,33,116
1468196607,33,0
1468239635,53,55
1468281734,87,56
1468326615,49,39
1468368435,56,81
1468415292,66,30
1468454165,39,44
1468499001,39,0
1468540752,43,71
1468586947,65,0
1468627140,39,25
1468674299,22,55
1468712094,18,0
1468760863,25,37
1468799454,23,32
1468844001,19,51
1468884705,25,61
1468931696,38,143
1468971506,22,63
1469018546,37,44
1469057925,34,0
1469106099,44,80
1469145445,30,66
1469192605,38,48
1469231623,35,42
1469277754,39,0
1469317153,28,65
1469363391,29,28
1469403425,18,24
1469452579,30,21
1469490691,25,41
1469539875,29,28
1469577673,34,0
1469623532,29,36
1469663565,26,70
1469711303,36,30
1469750815,38,49
1469797950,32,30
1469838791,28,41
1469882839,42,0
1469925843,36,52
1469967691,23,0
1470012883,25,58
1470056111,23,23
1470095565,26,22
1470141161,20,0
1470182502,26,65
1470227466,30,0
1470267646,25,26
1470314413,27,30
1470355433,31,38
1470399864,30,31
1470443679,37,72
1470490789,25,37
1470529796,37,0
1470572957,27,60
1470612714,47,0
1470661750,31,22
1470699706,59,23
1470746092,41,43
1470787147,29,0
1470834797,16,61
1470862999,16,0
1470919895,23,31
1470958463,14,48
1471005072,21,32
1471047094,32,0
1471092875,22,25
1471129579,36,34
1471179644,12,82
1471221075,66,31
1471265806,25,0
1471302713,27,60
1471352431,24,44
1471391343,26,51
1471438103,18,0
1471477931,30,30
1471525321,20,12
1471564682,36,17
1471610532,21,0
1471650104,32,37
1471696246,30,18
1471737196,34,42
1471783382,23,0
1471824046,16,83
1471871731,21,56
1471910872,28,23
1471955642,26,0
1471996880,31,26
1472043092,14,16
1472084207,16,57
1472129792,29,0
1472170591,24,35
