DateTime,AddedIPs,RemovedIPs
1466166568,45,45
1466207372,41,41
1466255599,47,46
1466296122,44,44
1466341353,58,59
1466382420,54,55
1466428341,56,56
1466467406,53,51
1466512398,47,47
1466551610,47,49
1466599146,51,51
1466638355,53,50
1466687880,82,85
1466726706,70,71
1466774462,81,80
1466812055,77,77
1466859267,93,91
1466899156,78,79
1466947138,103,103
1466984050,68,68
1467032758,83,81
1467070697,77,77
1467117679,87,89
1467156590,86,86
1467203575,89,88
1467244175,60,59
1467292110,86,85
1467377749,98,98
1467417709,64,66
1467463047,86,86
1467504577,104,102
1467549825,89,90
1467591407,95,94
1467637984,100,100
1467681257,89,89
1467724748,88,89
1467762847,89,89
1467808253,80,80
1467847901,69,70
1467894185,84,82
1467935582,61,61
1467982121,71,71
1468022593,50,52
1468068538,77,75
1468108461,47,48
1468154599,73,73
1468196607,58,58
1468239635,96,96
1468281734,136,135
1468326615,115,116
1468368435,113,113
1468415292,102,102
1468454165,67,67
1468499001,70,71
1468540752,70,68
1468586947,101,102
1468627140,77,77
1468674299,57,57
1468712094,44,44
1468760863,52,51
1468799454,45,45
1468844001,40,40
1468884705,41,42
1468931696,59,59
1468971506,44,44
1469018546,62,63
1469057925,55,54
1469106099,67,68
1469145445,49,48
1469192605,59,59
1469231623,50,50
1469277754,56,55
1469317153,40,40
1469363391,40,42
1469403425,37,36
1469452579,49,51
1469490691,41,41
1469539875,46,47
1469577673,55,51
1469623532,49,50
1469663565,44,44
1469711303,47,47
1469750815,57,58
1469797950,54,54
1469838791,54,54
1469882839,59,59
1469925843,63,62
1469967691,39,41
1470012883,44,44
1470056111,36,35
1470095565,44,44
1470141161,34,34
1470182502,40,39
1470227466,52,52
1470267646,55,55
1470314413,51,51
1470355433,49,50
1470399864,42,42
1470443679,54,53
1470490789,41,41
1470529796,56,55
1470572957,50,50
1470612714,70,70
1470661750,48,50
1470699706,88,86
1470746092,66,68
1470787147,62,62
1470834797,35,36
1470862999,26,25
1470919895,33,33
1470958463,26,26
1471005072,35,35
1471047094,48,48
1471092875,28,28
1471129579,48,50
1471179644,104,103
1471221075,109,108
1471265806,39,38
1471302713,53,53
1471352431,42,43
1471391343,48,48
1471438103,29,30
1471477931,46,46
1471525321,39,38
1471564682,51,51
1471610532,31,31
1471650104,61,62
1471696246,53,51
1471737196,61,61
1471783382,45,46
1471824046,37,36
1471871731,38,37
1471910872,41,41
1471955642,34,35
1471996880,47,48
1472043092,25,25
1472084207,32,32
1472129792,51,52
1472170591,35,34
1472213512,31,30
1472251646,44,46
1472298244,37,37
1472383660,69,68
1472423492,33,33
1472469932,25,24
1472508627,27,28
1472556143,98,100
1472596009,10,10
1472644175,131,127
1472683822,99,100
1472730364,103,102
1472769841,109,110
1472818170,101,100
1472858426,67,68
1472902383,43,43
1472944099,37,36
1472989356,41,41
1473030511,34,34
1473075014,25,26
1473116012,48,48
1473161019,30,30
1473203780,32,32
1473248517,32,31
1473288776,41,41
1473334839,134,134
1473376613,64,65
1473421847,54,54
1473461961,57,56
1473506599,45,45
1473548391,59,62
1473595670,51,52
1473636982,52,51
1473681739,40,39
1473721410,39,40
1473766952,42,42
1473807758,44,44
1473853173,36,35
1473892824,48,50
1473938669,49,48
1473978858,39,38
1474026434,50,52
1474065970,35,35
1474114786,52,49
1474156968,44,43
1474196889,41,41
1474238256,54,54
1474286255,52,53
1474326705,48,49
1474372883,20,20
1474412248,29,28
1474456021,33,34
1474476995,1,1
1474554091,25,26
1474583040,49,50
1474630982,28,28
1474670981,34,32
1474716925,47,47
1474756107,42,42
1474804733,28,27
1474843301,118,118
1474890245,6,6
1474929959,2,2
1475016187,5,5
1475067765,2,2
1475102327,3,3
1475155296,7,7
1475189897,4,4
1475240042,3,3
1475275526,7,7
1475327561,1,1
1475360005,2,2
1475413820,1,1
1475449232,5,5
1475497301,5,5
1475533864,3,3
1475582017,1,1
1475620279,4,4
1475667823,3,2
1475707374,5,5
1475765074,5,5
1475796727,4,4
1475845541,7,7
1475883331,5,5
1475935909,5,5
1475967992,5,5
1476022041,2,2
1476053217,4,4
1476099649,130,131
1476139264,44,44
1476191970,27,27
1476225853,33,32
1476275632,126,128
1476310273,4,4
1476359811,2,2
1476398666,3,3
1476448011,1,1
1476488969,2,2
1476539889,128,126
1476575258,34,34
1476624007,37,37
