DateTime,AddedIPs,RemovedIPs
1464445800,4228,3073
1464489000,1838,3048
1464532200,1044,3281
1464575400,1513,4112
1464618600,2540,2810
1464661800,2899,2354
1464705000,3864,1672
1464748200,3277,1159
1464791400,2308,2465
1464834600,2212,2310
1464877800,2857,3135
1464921000,2914,2162
1464964200,3374,1833
1465007400,6024,1748
1465050600,6451,2359
1465093800,4391,2955
1465137000,3319,4342
1465180200,2215,4917
1465223400,5125,5503
1465266600,4081,3566
1465309800,4213,2049
1465353000,2168,1573
1465396200,3599,3549
1465439400,3516,3031
1465482600,3252,2916
1465525800,2350,2261
1465569000,6593,698
1465612200,5640,1124
1465655400,5134,223
1465698600,2889,142
1465741800,3812,8256
1465785000,3380,6710
1465828200,5746,6222
1465871400,3034,3350
1465914600,51,3899
1465957800,5100,2783
1466001000,5237,9668
1466044200,3897,670
1466087400,5638,670
1466130600,3514,5512
1466173800,5154,3980
1466217000,4113,4705
1466260200,6214,5761
1466303400,4187,3550
1466346600,4919,4281
1466389800,3619,3317
1466433000,6380,4661
1466476200,4974,3800
1466519400,4424,3868
1466562600,4201,3154
1466605800,5744,4146
1466649000,14430,32916
1466692200,8391,51652
1466735400,8847,3845
1466778600,10404,5800
1466821800,13842,12736
1466865000,8906,7825
1466908200,7600,7545
1466951400,7104,11313
1466994600,6377,13539
1467037800,10024,9386
1467081000,14658,6951
1467124200,13927,6709
1467167400,12764,7064
1467210600,10470,10503
1467253800,11826,11733
1467297000,8481,13069
1467340200,9223,12612
1467383400,7873,12478
1467426600,1428,12831
1467469800,1595,10785
1467513000,11043,10431
1467556200,10601,8034
1467599400,8292,1062
1467642600,3993,1987
1467685801,12285,11562
1467729000,10933,10418
1467772200,9373,7510
1467815400,8315,4362
1467858600,9667,10372
1467901800,8999,10219
1467945000,5006,8788
1467988200,1940,9032
1468031400,1436,12215
1468074600,1521,10976
1468117800,1309,4510
1468161000,1744,1908
1468204200,1014,1590
1468247400,1434,1912
1468290600,1127,1503
1468333800,1596,1722
1468377000,1710,1325
1468420200,2454,1701
1468463400,2128,1280
1468506600,2824,1799
1468549800,1884,1822
1468593000,1966,2698
1468636800,1718,2372
1468680000,1927,2889
1468723200,1488,1846
1468766400,1275,2155
1468809600,936,1719
1468852800,2085,2049
1468896000,1767,1412
1468939200,2266,1144
1468982400,1580,973
1469025600,1785,2106
1469068800,1307,1657
1469112000,1553,2329
1469155200,1175,1535
1469198400,907,2405
1469241600,854,1639
1469284800,706,2087
1469328000,620,1001
1469371200,630,884
1469414400,939,892
1469457600,3223,696
1469500800,2125,652
1469544000,2395,648
1469587200,1390,882
1469630400,1627,2637
1469673600,1073,1809
1469716800,2050,2205
1469760000,1766,1328
1469803200,2246,1714
1469846400,4567,1025
1469889601,1630,2335
1469932800,784,1657
1469976000,758,3131
1470019200,623,3984
1470062400,2008,1423
1470105600,4489,785
1470148800,4528,713
1470192000,1923,568
1470235200,1970,2022
1470278400,1387,4894
1470321600,1335,3948
1470364800,2344,1800
1470408000,6979,2145
1470451200,1417,1237
1470494400,654,1293
1470537600,379,3052
1470580800,358,6941
1470624000,438,1625
1470667200,1352,487
1470710400,1226,342
1470753600,970,412
1470796800,810,672
1470840000,1037,1336
1470883200,992,1071
1470926400,1039,935
1470969600,638,856
1471012800,1234,1087
1471056000,3209,1038
1471099200,1375,1148
1471142400,400,707
1471185600,347,1470
1471228800,258,3143
1471272000,1008,1119
1471315200,738,371
1471358400,750,354
1471401600,589,296
1471444800,721,943
1471488000,1376,600
1471531200,1015,693
1471574400,440,542
1471618200,720,861
1471662000,734,1377
1471705800,749,948
1471749600,541,403
1471792800,276,845
1471836000,206,877
1471879200,1911,690
1471922400,1515,448
1471965600,2175,236
1472008800,1081,271
1472052000,1365,1749
1472095200,1867,1393
1472138400,2265,1606
1472181600,1522,1179
1472224800,2854,1352
1472268000,3199,1855
1472311200,2372,2042
1472354400,800,1490
1472397600,652,2802
1472440800,504,3286
1472484001,1849,2304
1472527200,2981,727
1472570400,1897,595
1472613600,1869,598
1472656800,2239,2020
1472700000,2534,2683
1472743200,2649,1824
1472786400,1862,1873
1472829600,2048,2179
1472872800,1835,2549
1472916000,1775,2682
1472959800,1402,1775
1473003600,896,2267
1473046800,786,1971
1473090000,2571,1860
1473133200,2868,1545
1473176400,2293,865
1473219600,1827,1078
1473262800,1508,2980
1473306000,2101,2921
1473349200,1980,2162
1473392400,1022,1699
1473435600,175,1695
1473478800,1404,3982
1473522000,1507,161
1473565200,1363,946
1473608400,1140,263
1473651600,602,1405
1473694800,1556,1382
1473738000,1892,1268
1473781200,2444,1045
1473824400,2600,742
1473867600,2991,1801
1473910800,3836,1941
1473954000,3105,2505
1473997200,2330,1734
1474040400,4290,256
1474083600,3368,304
1474126800,1590,238
1474170001,874,211
1474213200,1086,359
1474256400,958,278
1474299600,1856,201
1474342801,1805,183
1474386000,2008,160
1474429200,2078,192
1474472400,2104,292
1474515600,2760,200
1474558800,2523,217
1474602000,2410,279
1474645200,3084,255
1474688400,1369,303
1474731600,2161,294
1474774800,1743,242
1474818000,1380,290
1474861800,949,181
1474905600,1198,287
1474948800,4048,224
1474992001,3755,229
1475035200,2587,190
1475078401,1517,181
1475121601,1793,1163
1475164800,1415,2389
1475208001,1302,3199
