DateTime,AddedIPs,RemovedIPs
1487656322,80,80
1487656922,80,80
1487657522,80,80
1487658122,80,80
1487659322,80,80
1487659922,76,76
1487660522,77,77
1487661723,80,80
1487662921,80,80
1487663521,80,80
1487664122,77,77
1487665322,76,76
1487666522,80,80
1487667721,80,80
1487668322,80,80
1487668923,80,80
1487669522,79,79
1487670122,80,80
1487670721,79,79
1487671322,80,80
1487672522,78,78
1487673122,75,75
1487673722,79,79
1487674322,80,80
1487674922,79,79
1487675524,80,80
1487676122,80,80
1487677321,80,80
1487677921,80,80
1487678522,80,80
1487679122,80,80
1487679733,69,69
1487680323,80,80
1487680921,79,79
1487681522,79,79
1487682122,80,80
1487682722,20,20
1487683322,80,80
1487684521,80,80
1487685122,80,80
1487685721,80,80
1487686322,80,80
1487686921,80,80
1487687521,71,71
1487688123,80,80
1487688721,80,80
1487689322,80,80
1487690522,80,80
1487691121,80,80
1487691722,80,80
1487692931,78,78
1487693526,78,78
1487694127,80,80
1487694722,78,78
1487695326,80,80
1487695921,78,78
1487696522,78,78
1487697122,74,74
1487697722,72,72
1487698922,80,80
1487699522,78,78
1487700122,80,80
1487701323,78,78
1487701922,80,80
1487702522,78,78
1487703121,80,80
1487703722,75,75
1487704322,66,66
1487704922,80,80
1487705522,80,80
1487706122,79,79
1487706723,80,80
1487707322,80,80
1487707922,67,67
1487708522,80,80
1487709721,80,80
1487710322,76,76
1487710922,80,80
1487711521,80,80
1487712122,80,80
1487712721,75,75
1487713322,79,79
1487713921,78,78
1487714521,78,78
1487715723,80,80
1487716922,71,71
1487717522,77,77
1487718121,80,80
1487719327,80,80
1487719922,80,80
1487720522,80,80
1487721122,80,80
1487721722,76,76
1487722322,80,80
1487722922,80,80
1487723522,75,75
1487724122,77,77
1487724722,65,65
1487725321,77,77
1487725922,80,80
1487726534,66,66
1487727121,76,76
1487727722,78,78
1487728921,79,79
1487729522,80,80
1487730122,80,80
1487730722,80,80
1487731322,80,80
1487731921,80,80
1487732522,80,80
1487733122,71,71
1487733722,78,78
1487734323,77,77
1487734922,79,79
1487735521,80,80
1487736122,80,80
1487736721,75,75
1487737321,80,80
1487738522,80,80
1487739122,80,80
1487739721,80,80
1487740323,80,80
1487740922,80,80
1487742122,79,79
1487742722,77,77
1487743322,80,80
1487743922,79,79
1487744524,80,80
1487745721,80,80
1487746329,80,80
1487746921,75,75
1487747522,77,77
1487748121,80,80
1487748722,80,80
1487749322,77,77
1487750522,79,79
1487751121,80,80
1487751722,80,80
1487752922,80,80
1487754123,80,80
1487754721,80,80
1487755322,80,80
1487756521,80,80
1487757122,80,80
1487758322,80,80
1487758921,80,80
1487759522,77,77
1487760122,80,80
1487760722,79,79
1487761322,80,80
1487761922,80,80
1487762522,80,80
1487764322,80,80
1487764922,77,77
1487765522,80,80
1487766122,79,79
1487766723,71,71
1487767321,76,76
1487767922,80,80
1487768522,80,80
1487769722,80,80
1487770321,76,76
1487770921,80,80
1487771522,78,78
1487772122,80,80
1487772722,80,80
1487773321,79,79
1487773921,74,74
1487774521,76,76
1487775122,80,80
1487775722,80,80
1487776322,80,80
1487776922,78,78
1487778121,80,80
1487778722,78,78
1487779322,73,73
1487779922,80,80
1487780521,80,80
1487781121,79,79
1487781721,80,80
1487782922,80,80
1487783523,80,80
1487784122,80,80
1487784722,80,80
1487785322,80,80
1487785921,54,54
1487786521,77,77
1487787122,77,77
1487787722,80,80
1487788321,80,80
1487788922,79,79
1487789522,79,79
1487790122,76,76
1487791322,80,80
1487791921,79,79
1487792521,80,80
1487793730,80,80
1487794322,80,80
1487794922,80,80
1487795521,80,80
1487796122,78,78
1487796722,80,80
1487797923,80,80
1487798522,80,80
1487799122,79,79
1487799722,80,80
1487800322,78,78
1487800922,80,80
1487801522,79,79
1487802122,80,80
1487802721,80,80
1487803321,78,78
1487803922,80,80
1487804522,80,80
1487805722,78,78
1487806321,80,80
1487806921,77,77
1487807522,30,30
1487808122,76,76
1487808722,77,77
1487809322,76,76
1487810522,73,73
1487811123,79,79
1487811721,67,67
1487812323,77,77
1487812922,77,77
1487813521,79,79
1487814122,78,78
1487814723,80,80
1487815322,80,80
1487815921,22,22
1487816522,80,80
1487817123,80,80
1487817722,80,80
1487818327,80,80
1487818922,80,80
1487819522,80,80
1487820122,79,79
1487820722,80,80
1487821321,80,80
1487821921,77,77
1487822521,79,79
1487823121,80,80
1487823722,80,80
1487824921,80,80
1487825523,80,80
1487826122,80,80
1487826721,77,77
1487827321,75,75
1487828522,79,79
1487829122,75,75
1487829722,80,80
1487830322,77,77
1487830922,79,79
1487831521,77,77
1487832122,78,78
1487832722,77,77
1487833322,80,80
1487833922,71,71
1487834522,78,78
1487835122,77,77
1487835722,80,80
1487836322,80,80
1487836922,80,80
1487837525,79,79
1487838122,80,80
1487838722,79,79
1487839322,78,78
1487839922,80,80
1487840521,78,78
1487841122,80,80
1487841721,80,80
1487842922,80,80
1487843522,80,80
1487844122,80,80
1487845321,79,79
1487845921,75,75
1487846521,79,79
1487847121,79,79
1487847722,72,72
