DateTime,Entries,UniqueIPs
1482833640,76885,78062
1482837082,77208,78381
1482840516,77999,79179
1482844350,78732,79927
1482851309,78554,79797
1482855072,79662,80941
1482858526,80698,82010
1482862127,79997,81322
1482869799,80148,81506
1482872902,80042,81409
1482876784,80981,82389
1482880279,81851,83269
1482883703,82035,83465
1482890913,82087,83538
1482894506,82310,83779
1482898265,82522,84005
1482905325,83370,84839
1482908897,83210,84657
1482912530,83182,84621
1482916370,83211,84636
1482923972,82597,84026
1482926929,82747,84192
1482930828,82942,84401
1482934116,81935,83401
1482937737,82371,83869
1482941575,82202,83701
1482948827,79897,81381
1482952117,79313,80766
1482955980,78655,80093
1482959493,77925,79323
1482962909,76788,78159
1482966504,75324,76678
1482970096,74472,75810
1482984972,72824,74145
1483006507,69595,70882
1483009893,68653,69924
1483013315,69422,70691
1483017128,71386,72661
1483027777,72341,73603
1483031484,74080,75355
1483035047,75072,76339
1483038512,75825,77136
1483042325,75939,77232
1483056587,73689,74962
1483060279,74767,76082
1483063705,74948,76289
1483067498,75295,76626
1483070916,75345,76665
1483078601,76063,77345
1483082011,75686,76978
1483092585,76469,77760
1483096108,77272,78565
1483103701,77346,78631
1483106934,77632,78903
1483114421,78378,79623
1483117730,78906,80156
1483121591,80352,81625
1483125105,81458,82725
1483128705,82496,83771
1483135877,83699,84980
1483139526,84307,85595
1483150885,86144,87522
1483153863,86611,87970
1483157315,87065,88433
1483168316,92765,94176
1483171916,94294,95739
1483175618,96009,97503
1483183276,97647,99170
1483186117,97236,98739
1483189911,96298,97773
1483193300,94031,95439
1483197064,92955,94316
1483200503,92304,93653
1483204387,91837,93183
1483207927,89752,91056
1483211304,88349,89640
1483214906,87776,89055
1483218514,87465,88738
1483222337,86985,88254
1483225714,86586,87834
1483229467,86347,87581
1483232907,85978,87210
1483240187,84555,85775
1483243724,84415,85631
1483254897,82462,83643
1483258102,81743,82910
1483265476,80214,81358
1483269159,79918,81056
1483272505,79435,80564
1483276289,78774,79899
1483283560,77925,79061
1483290948,75970,77072
1483297916,74728,75812
