DateTime,AddedIPs,RemovedIPs
1482840517,1042,2559
1482844351,1032,2733
1482851310,2419,5503
1482855073,1652,4284
1482858527,1231,2516
1482862128,770,2705
1482869800,1569,5445
1482872903,616,2457
1482876785,969,2539
1482880280,992,4149
1482883704,665,2414
1482890914,1473,5535
1482894506,869,4993
1482898266,1022,3060
1482905326,2228,1526
1482908898,944,767
1482912531,979,747
1482916371,1120,1180
1482923973,2130,3383
1482926930,1034,2380
1482930829,1255,2377
1482934117,1110,2274
1482937737,1461,2264
1482941576,860,2401
1482948828,818,4857
1482952118,310,2057
1482955981,327,2011
1482959493,317,2011
1482962910,282,1988
1482966505,347,1957
1482970097,264,1716
1482984973,2270,7578
1483006508,3325,12413
1483009894,920,1634
1483013316,1279,1493
1483017129,2316,2133
1483027778,3763,6873
1483031485,1928,2168
1483035047,1376,2127
1483038513,909,2001
1483042326,736,1956
1483056587,2115,6867
1483060279,1018,2181
1483063706,650,2101
1483067499,806,2230
1483070916,852,2686
1483078601,2366,5456
1483082012,816,2832
1483092585,3762,8827
1483096109,1548,2729
1483103702,2704,6333
1483106935,1347,3161
1483114422,3501,7964
1483117730,1026,3245
1483121592,1281,3373
1483125107,1235,2667
1483128705,1165,2222
1483135878,1570,4623
1483139527,659,2623
1483150886,62125,1051
1483153864,1007,2226
1483157316,1149,2686
1483168316,5991,8323
1483171917,1732,2807
1483175619,1854,2879
1483183277,2940,5852
1483186118,750,2961
1483189912,1027,3271
1483193301,1009,3148
1483197065,1214,4712
1483200504,904,3234
1483204388,813,3221
1483207927,916,3331
1483211305,689,2667
1483214907,578,2185
1483218515,549,2275
1483222337,399,2299
1483225715,425,2606
1483229468,504,2602
1483232908,402,2916
1483240188,1184,4462
1483243725,710,2981
1483254898,1921,11006
1483258103,527,2863
1483265477,1123,3806
1483269160,1136,2972
1483272505,907,2231
1483276290,942,1767
1483283561,1998,6888
1483290949,1829,7281
1483297917,1446,6011
1483312278,1787,10043
1483315911,414,2394
1483319512,542,2264
1483322895,754,2190
1483326497,791,2174
1483330310,888,2320
1483333804,1094,2424
1483337519,785,2520
1483344486,62,4899
1483351788,98,3968
1483355286,45,1798
1483359010,48,2461
1483362673,21,2350
1483369763,7544,5939
1483373320,1213,3004
1483377159,1328,4054
1483380566,1381,3238
1483384118,1177,2838
1483387717,1047,2000
1483395035,1305,3303
1483398511,467,1030
1483405701,1099,2442
1483409316,990,1675
1483412938,721,1820
1483420137,1909,4263
1483431112,2526,8452
1483434520,771,2314
1483438214,1066,2065
1483441946,1072,411
1483448936,2343,1070
1483456184,2041,1203
1483459737,1050,527
1483463323,906,620
1483470539,1972,849
1483474129,959,407
1483477735,731,576
1483481339,588,315
1483484982,622,288
1483488499,544,238
1483492108,506,268
1483495706,593,287
1483499316,687,444
1483502912,712,382
1483506506,822,460
1483510114,787,428
1483513699,1028,489
1483517325,919,485
1483520924,1065,443
1483524832,912,454
1483528180,904,503
1483531925,1177,416
1483535329,928,429
1483538930,1248,596
1483542522,897,537
1483546136,749,502
1483549734,746,430
1483553321,816,555
1483561086,1358,820
1483564120,342,345
1483567890,476,326
1483571319,492,313
1483574896,454,1508
1483578698,464,1856
1483582100,429,1832
1483585698,490,2110
1483589318,458,2089
1483592895,620,2330
1483596529,690,2738
1483600116,682,2629
1483603726,579,1868
1483607322,923,1059
1483611249,1063,527
1483614522,1139,759
1483618143,1573,1679
1483621741,1271,2285
1483625333,1399,2228
1483628927,1118,2339
1483639767,3113,6463
1483643316,749,1993
1483646927,596,1994
1483650516,799,2045
1483654127,1684,1911
1483658072,975,1866
1483661325,588,1830
1483664917,815,1899
1483668522,861,1779
1483672115,841,1772
1483675730,1168,1669
1483679323,1033,1764
1483682923,1182,1876
1483686525,1173,1888
1483690341,1220,1760
1483693733,1384,1744
1483697419,1038,1729
1483704529,2250,3593
1483708128,1317,1794
1483711732,1306,1766
1483715328,1191,1789
1483722528,2461,3926
1483729731,1828,3706
1483733323,784,1912
1483736921,780,1924
1483740546,883,1942
1483744128,625,2166
1483747730,715,1807
1483751307,645,1714
1483754926,663,1765
1483758623,991,1575
1483765927,1848,3498
1483772940,2441,3805
1483776854,1428,1937
1483780232,957,2010
1483783835,1203,1784
1483787342,966,1861
1483791201,996,2132
1483794591,768,2384
1483798399,1270,2696
1483801830,1316,2938
1483805425,973,2918
1483808934,714,3220
1483812533,768,2561
1483816186,580,1904
1483819871,530,2694
1483823467,328,2561
1483827007,213,2016
1483834343,933,3631
1483837745,438,1857
1483841421,450,1971
1483845080,493,1976
1483848687,456,1933
1483852130,560,1972
1483855723,668,1998
1483863634,1146,3735
1483870371,1264,4081
1483873935,766,2060
1483881099,1680,5636
1483884531,922,2821
1483895720,2613,7922
1483899231,509,2726
1483909856,1832,8392
1483913330,427,2722
1483920790,942,4363
1483924120,497,1789
1483927699,626,1539
1483931332,603,1940
1483935128,600,1913
1483942472,1444,3449
1483945727,487,1596
1483949333,585,1306
1483953150,555,2513
1483964482,766,7181
1483971322,5419,4523
1483974536,891,2274
1483978154,920,2799
1483981933,3007,2905
1483985343,1403,2533
1483988931,999,2559
1483992524,780,2547
1483996357,816,2590
1483999714,529,2687
1484007138,1178,5232
1484010730,675,2713
1484014303,574,3179
1484017886,468,1383
1484021497,569,911
1484024923,544,1822
1484028508,695,1003
1484032246,1902,1915
1484035730,1239,2224
1484043084,3750,4835
1484046796,1519,2749
1484057385,4788,12176
1484061185,1485,4206
1484068401,3609,7857
1484071968,1504,4221
1484086525,3039,14604
1484089726,501,2088
1484093317,313,1880
1484097007,57,2584
1484104383,2260,7047
