DateTime,Entries,UniqueIPs
1482844351,1094168,1140844
1482851310,1091166,1137760
1482855073,1088696,1135128
1482858527,1087458,1133843
1482862128,1085647,1131908
1482869800,1081988,1128032
1482872903,1080222,1126191
1482876785,1078707,1124621
1482880280,1075757,1121464
1482883704,1074089,1119715
1482890914,1070261,1115653
1482894506,1066405,1111529
1482898266,1064528,1109491
1482905326,1065195,1110193
1482908898,1065371,1110370
1482912531,1065610,1110602
1482916371,1065562,1110542
1482923973,1064327,1109289
1482926930,1063016,1107943
1482930829,1061957,1106821
1482934117,1060802,1105657
1482937737,1059958,1104854
1482941576,1058512,1103313
1482948828,1054669,1099274
1482952118,1053005,1097527
1482955981,1051409,1095843
1482959493,1049826,1094149
1482962910,1048195,1092443
1482966505,1046641,1090833
1482970097,1045250,1089381
1482984973,1040252,1084073
1483006508,1031743,1074985
1483009894,1031088,1074271
1483013316,1030913,1074057
1483017129,1031068,1074240
1483027778,1028043,1071130
1483031485,1027831,1070890
1483035047,1027116,1070139
1483038513,1026066,1069047
1483042326,1024905,1067827
1483056587,1020363,1063075
1483060279,1019294,1061912
1483063706,1017936,1060461
1483067499,1016576,1059037
1483070916,1014843,1057203
1483078601,1011897,1054113
1483082012,1009992,1052097
1483092585,1005239,1047032
1483096109,1004124,1045851
1483103702,1000778,1042222
1483106935,999035,1040408
1483114422,994796,1035945
1483117730,992681,1033726
1483121592,990683,1031634
1483125107,989315,1030202
1483128705,988310,1029145
1483135878,985417,1026092
1483139527,983543,1024128
1483150886,1041170,1085202
1483153864,1040005,1083983
1483157316,1038542,1082446
1483168316,1036262,1080114
1483171917,1035271,1079039
1483175619,1034300,1078014
1483183277,1031498,1075102
1483186118,1029461,1072891
1483189912,1027375,1070647
1483193301,1025356,1068508
1483197065,1022049,1065010
1483200504,1019834,1062680
1483204388,1017532,1060272
1483207927,1015223,1057857
1483211305,1013341,1055879
1483214907,1011814,1054272
1483218515,1010170,1052546
1483222337,1008330,1050646
1483225715,1006231,1048465
1483229468,1004203,1046367
1483232908,1001788,1043853
1483240188,998597,1040575
1483243725,996424,1038304
1483254898,987846,1029219
1483258103,985651,1026883
1483265477,983162,1024200
1483269160,981428,1022364
1483272505,980207,1021040
1483276290,979451,1020215
1483283561,974843,1015325
1483290949,969746,1009873
1483297917,965475,1005308
1483312278,957572,997052
1483315911,955693,995072
1483319512,954033,993350
1483322895,952659,991914
1483326497,951336,990531
1483330310,949984,989099
1483333804,948697,987769
1483337519,947014,986034
1483344486,942427,981197
1483351788,938735,977327
1483355286,937075,975574
1483359010,934779,973161
1483362673,932561,970832
1483369763,933982,972437
1483373320,932261,970646
1483377159,929660,967920
1483380566,927928,966063
1483384118,926357,964402
1483387717,925458,963449
1483395035,923540,961451
1483398511,923006,960888
1483405701,921707,959545
1483409316,921041,958860
1483412938,919971,957761
1483420137,917723,955407
1483431112,912079,949481
1483434520,910622,947938
1483438214,909687,946939
1483441946,910322,947600
1483448936,911530,948873
1483456184,912320,949711
1483459737,912784,950234
1483463323,913057,950520
1483470539,914116,951643
1483474129,914661,952195
1483477735,914807,952350
1483481339,915062,952623
1483484982,915363,952957
1483488499,915670,953263
1483492108,915916,953501
1483495706,916211,953807
1483499316,916445,954050
1483502912,916719,954380
1483506506,917067,954742
1483510114,917404,955101
1483513699,917929,955640
1483517325,918352,956074
1483520924,918981,956696
1483524832,919424,957154
1483528180,919838,957555
1483531925,920563,958316
1483535329,921026,958815
1483538930,921647,959467
1483542522,921990,959827
1483546136,922227,960074
1483549734,922510,960390
1483553321,922966,960651
1483561086,923475,961189
1483564120,923482,961186
1483567890,923605,961336
1483571319,923786,961515
1483574896,922792,960461
1483578698,921464,959069
1483582100,920093,957666
1483585698,918552,956046
1483589318,916967,954415
1483592895,915339,952705
1483596529,913375,950657
1483600116,911502,948710
1483603726,910264,947421
1483607322,910130,947285
1483611249,910635,947821
1483614522,910977,948201
1483618143,910893,948095
1483621741,909863,947081
1483625333,909021,946252
1483628927,907821,945031
1483639767,904588,941681
1483643316,903360,940437
1483646927,902024,939039
1483650516,900806,937793
1483654127,900566,937566
1483658072,899671,936675
1483661325,898451,935433
1483664917,897385,934349
1483668522,896469,933431
1483672115,895568,932500
1483675730,895034,931999
1483679323,894318,931268
1483682923,893629,930574
1483686525,892949,929859
1483690341,892428,929319
1483693733,892036,928959
1483697419,891378,928268
1483704529,890101,926925
1483708128,889593,926448
1483711732,889109,925988
1483715328,888495,925390
1483722528,887014,923925
1483729731,885171,922047
1483733323,884094,920919
1483736921,882974,919775
1483740546,881922,918716
1483744128,880417,917175
1483747730,879364,916083
1483751307,878335,915014
1483754926,877270,913912
1483758623,876683,913328
1483765927,875077,911678
1483772940,873766,910314
1483776854,873264,909805
1483780232,872235,908752
1483783835,871662,908171
1483787342,870797,907276
1483791201,869713,906140
1483794591,868145,904524
1483798399,866777,903098
1483801830,865216,901476
1483805425,863321,899531
1483808934,860911,897025
1483812533,859163,895232
1483816186,857859,893908
1483819871,855804,891744
1483823467,853641,889511
1483827007,851919,887708
1483834343,849325,885010
1483837745,847981,883591
1483841421,846522,882070
1483845080,845076,880587
1483848687,843668,879110
1483852130,842332,877698
1483855723,841047,876368
1483863634,838535,873779
1483870371,835862,870962
1483873935,834610,869668
1483881099,830810,865712
1483884531,828987,863813
1483895720,823879,858504
1483899231,821738,856287
1483909856,815488,849727
1483913330,813254,847432
1483920790,809946,844011
1483924120,808702,842719
1483927699,807820,841806
1483931332,806555,840469
1483935128,805272,839156
1483942472,803340,837151
1483945727,802263,836042
