DateTime,Entries,UniqueIPs
1481688822,5808748,6205330
1481695771,5808754,6205336
1481699344,5808753,6205335
1481710628,5808758,6205340
1481713834,5808757,6205339
1481724608,5808757,6205339
1481728440,5808759,6205341
1481732012,5808762,6205344
1481735336,5808762,6205344
1481739276,5808764,6205346
1481742522,5808770,6205352
1481746429,5808772,6205354
1481760573,5808786,6205368
1481764323,5808788,6205370
1481771659,5808795,6205377
1481775196,5808797,6205379
1481782189,5808800,6205382
1481785895,5808801,6205383
1481789664,5808800,6205382
1481792944,5808803,6205385
1481807370,5808804,6205387
1481810985,5808806,6205389
1481818382,5808845,6205428
1481821727,5808850,6205433
1481825540,5808851,6205434
1481829257,5808855,6205439
1481843368,5808862,6205446
1481846912,5808863,6205447
1481854599,5808872,6205457
1481886714,5808891,6205476
1481894448,5808893,6205478
1481897385,5808894,6205479
1481900937,5808895,6205480
1481915656,5808902,6205485
1481919229,5808903,6205486
1481929740,5808904,6205487
1481937090,5808906,6205489
1481940681,5808908,6205491
1481951362,5808912,6205496
1481954949,5808913,6205497
1481962454,5808919,6205503
1481966023,5808920,6205504
1481976630,5808922,6205506
1481980137,5808924,6205509
1481984037,5808928,6205513
1481987637,5808933,6205518
1481991258,5808936,6205521
1481994793,5808937,6205522
1482012883,5808942,6205527
1482016460,5808944,6205529
1482023336,5808945,6205530
1482027229,5808946,6205531
1482034353,5808948,6205533
1482037886,5808950,6205535
1482045351,5808953,6205538
1482052212,5808956,6205541
1482059640,5808959,6205544
1482063238,5808961,6205546
1482066542,5808965,6205550
1482070314,5808967,6205552
1482081578,5808971,6205556
1482091921,5809025,6205611
1482095323,5809027,6205613
1482099194,5809031,6205617
1482102547,5809032,6205618
1482106132,5809032,6205618
1482109983,5809034,6205620
1482113310,5809036,6205622
1482120807,5809040,6205626
1482124370,5809041,6205627
1482134920,5809046,6205632
1482138718,5809049,6205635
1482156922,5809056,6205642
1482167660,5809059,6205639
1482170927,5809060,6205640
1482178433,5809058,6205639
1482181710,5809060,6205641
1482185309,5809060,6205641
1482192813,5809058,6205639
1482196421,5809059,6205640
1482199728,5809060,6205641
1482210833,5809063,6205644
1482221364,5809072,6205653
1482228871,5809071,6205652
1482232138,5809073,6205654
1482242947,5809075,6205656
1482257571,5835261,6232944
