DateTime,Entries,UniqueIPs
1474163105,73,73
1474186510,76,76
1474193709,77,77
1474197308,78,78
1474206306,75,75
1474299906,74,74
1474314306,75,75
1474341306,74,74
1474368306,75,75
1474370107,76,76
1474375506,77,77
1474400706,78,78
1474465505,79,79
1474467307,78,78
1474503306,77,77
1474533905,78,78
1474535706,79,79
1474548305,78,78
1474559109,79,79
1474622114,80,80
1474625707,81,81
1474632908,78,78
1474766105,79,79
1474791317,81,81
1474793110,82,82
1474814706,83,83
1474829106,82,82
1474836305,81,81
1474902906,80,80
1474971310,83,83
1475000111,83,83
1475018109,82,82
1475050511,83,83
1475073910,82,82
1475077505,81,81
1475090118,80,80
1475100907,79,79
1475142312,80,80
1475147708,79,79
1475153107,80,80
1475154907,81,81
1475160306,80,80
1475162106,79,79
1475165707,78,78
1475169305,77,77
1475192706,76,76
1475216108,77,77
1475221513,76,76
1475244907,75,75
1475282706,74,74
1475316908,75,75
1475363706,74,74
1475387108,73,73
1475405110,72,72
1475406906,72,72
1475424905,73,73
1475430306,74,74
1475442905,75,75
1475462706,74,74
1475480707,74,74
1475520307,73,73
1475525711,72,72
1475538312,71,71
1475541907,70,70
1475559913,71,71
1475561710,72,72
1475568912,73,73
1475594108,75,75
1475624707,74,74
1475649910,75,75
1475684106,73,73
1475696706,72,72
1475732709,73,73
1475774107,72,72
1475792106,73,73
1475797506,72,72
1475817312,73,73
1475824531,72,72
1475867704,73,73
1475898306,72,72
1475912705,71,71
1475943306,69,69
1475973906,68,68
1475975705,69,69
1476092712,67,67
1476128707,68,68
1476139506,69,69
1476220506,70,70
1476297907,71,71
1476303307,70,70
1476369007,69,69
1476374406,70,70
1476376206,69,69
1476437409,68,68
1476439208,71,71
1476444607,72,72
1476450006,73,73
1476471606,72,72
1476526508,71,71
1476546307,68,68
1476553506,69,69
1476618308,68,68
1476636306,67,67
1476706510,68,68
1476710112,67,67
1476715508,66,66
1476760506,65,65
1476776708,64,64
1476791108,63,63
1476794706,64,64
1476870308,66,66
1476917106,67,67
1476967507,66,66
1476983707,65,65
1476992707,64,64
1476999906,63,63
1477023308,64,64
1477028711,65,65
1477055707,64,64
1477089907,63,63
1477127708,62,62
1477201507,61,61
1477214108,60,60
1477311307,61,61
1477313106,63,63
1477314906,62,62
1477316706,63,63
1477320306,64,64
1477329306,63,63
1477341907,64,64
1477345506,63,63
1477358106,62,62
1477367107,63,63
1477374307,64,64
1477383308,65,65
1477388707,67,67
1477390505,69,69
1477392307,70,70
1477406706,69,69
1477422906,70,70
1477431908,71,71
1477466108,72,72
1477480507,75,75
1477493107,79,79
1477494907,81,81
1477525506,82,82
1477554309,83,83
1477557907,84,84
1477561508,88,88
1477565106,90,90
1477566907,91,91
1477590306,94,94
1477592107,93,93
1477637115,92,92
1477649706,93,93
1477660507,94,94
1477662306,95,95
1477665906,94,94
1477727107,93,93
1477728912,94,94
1477743312,91,91
1477768508,90,90
1477811711,89,89
1477818909,91,91
1477829709,92,92
1477847706,93,93
1477854906,94,94
1477896310,96,96
1477908908,99,99
1477932306,101,101
1477991709,103,103
1477997106,102,102
1478007907,103,103
1478016907,103,103
1478018707,104,104
1478034908,103,103
1478067307,105,105
1478072708,104,104
1478106907,103,103
1478151906,102,102
1478160909,101,101
1478186107,99,99
1478195107,98,98
1478241909,97,97
1478265307,98,98
1478270707,99,99
1478295907,98,98
1478310308,97,97
1478331907,98,98
1478360706,97,97
1478384108,96,96
1478436307,95,95
1478459707,94,94
1478646910,93,93
1478715310,94,94
1478717107,93,93
1478731507,92,92
1478812508,91,91
1478862909,92,92
1478886307,91,91
1478889906,90,90
1478976306,89,89
1479030309,87,87
1479042906,85,85
1479114914,86,86
1479116708,87,87
1479122105,88,88
1479163506,87,87
1479208506,88,88
1479222906,91,91
1479249907,93,93
1479258906,94,94
1479302107,95,95
1479314707,96,96
1479323708,98,98
1479325506,100,100
1479336308,101,101
1479352506,100,100
1479359712,99,99
1479374110,100,100
1479390306,101,101
1479402907,103,103
1479460507,104,104
1479464111,104,104
1479469511,103,103
1479482106,102,102
1479496506,103,103
1479530707,102,102
1479543307,104,104
1479545107,109,109
1479552308,110,110
1479561308,111,111
1479579306,112,112
1479608106,113,113
1479615308,112,112
1479719708,117,117
1479726910,118,118
1479739507,119,119
1479757506,120,120
1479798907,119,119
1479827706,120,120
1479854705,121,121
1479860106,120,120
1479865505,121,121
1479870906,120,120
1479883507,119,119
1479899706,118,118
1479915905,118,118
1479928505,118,118
1479930309,117,117
1479932109,116,116
1479933908,115,115
1479944706,117,117
1479950107,118,118
1479959105,117,117
1479973507,118,118
1479975313,118,118
1480013113,119,119
1480014908,119,119
1480023906,119,119
1480054507,118,118
1480058106,116,116
1480067106,115,115
1480072507,114,114
1480077908,112,112
1480079706,111,111
1480117506,110,110
1480122906,109,109
1480148106,107,107
1480149908,106,106
1480151706,107,107
1480153511,102,102
1480155307,104,104
1480158906,104,104
1480169705,103,103
1480173305,104,104
1480182305,102,102
1480194906,101,101
1480221907,99,99
1480238107,100,100
1480241707,99,99
1480259705,98,98
1480272305,97,97
1480283106,96,96
1480284910,97,97
1480301106,98,98
1480302906,96,96
1480322706,97,97
1480358706,96,96
1480439705,95,95
1480446906,94,94
1480448706,93,93
1480457707,94,94
1480502706,92,92
1480524305,91,91
1480571108,89,89
1480574707,90,90
1480576507,89,89
1480590909,89,89
1480592714,91,91
1480599904,90,90
1480603505,91,91
1480608911,90,90
1480610706,88,88
1480650305,86,86
1480663804,87,87
1480700705,86,86
1480752907,87,87
1480760106,92,92
1480783505,91,91
1480848305,90,90
1480855505,89,89
1480862705,88,88
1480869905,87,87
1480875304,88,88
1480911306,89,89
1480929307,88,88
1480940106,89,89
1480956305,90,90
1481153406,94,94
1481219106,95,95
1481237105,96,96
1481280309,99,99
1481334306,100,100
1481388307,101,101
1481406307,102,102
1481453108,103,103
1481526908,104,104
1481534108,105,105
1481607918,106,106
1481654707,107,107
1481703323,108,108
1481705118,109,109
1481708709,108,108
1481710515,109,109
1481733908,110,110
1481742907,111,111
1481753707,114,114
1481800508,113,113
1481805907,114,114
1481811308,115,115
1481814906,113,113
1481829306,115,115
1481841906,113,113
1481850908,112,112
1481877907,112,112
1481879707,113,113
1481883312,114,114
1481897707,113,113
1481915706,112,112
1481928307,111,111
1481944506,110,110
1481964308,108,108
1481966112,108,108
1481973316,110,110
1481994905,109,109
1482003906,108,108
1482023708,107,107
1482029107,108,108
1482043508,106,106
1482052510,107,107
1482056107,111,111
1482086707,105,105
1482088507,104,104
1482090309,103,103
1482108307,102,102
1482115508,101,101
1482156906,102,102
1482162307,101,101
1482198307,100,100
1482200106,99,99
1482246911,100,100
1482254106,99,99
1482257707,98,98
1482311711,99,99
1482342307,100,100
1482349506,99,99
1482410706,103,103
1482419722,102,102
1482426907,103,103
1482437708,103,103
1482452106,102,102
1482457506,100,100
1482471909,101,101
1482473715,100,100
1482479113,101,101
1482542107,99,99
1482558314,98,98
1482561908,97,97
1482565514,96,96
1482583506,96,96
1482605106,95,95
1482606907,94,94
1482615907,93,93
1482617705,94,94
1482619507,93,93
1482657308,94,94
1482668110,93,93
1482682507,92,92
1482691508,93,93
1482740123,91,91
1482765309,90,90
1482774306,89,89
1482779706,88,88
1482783306,89,89
1482837308,90,90
1482864309,89,89
1482876906,88,88
1482920115,89,89
1482927311,90,90
1482929109,89,89
1482995715,88,88
1483002910,87,87
1483046106,85,85
1483049708,84,84
1483056907,83,83
1483085710,84,84
1483100111,83,83
1483166708,82,82
1483175707,81,81
1483182909,80,80
1483208107,82,82
1483289106,81,81
1483321506,79,79
1483339508,78,78
1483368309,77,77
1483371906,75,75
1483467307,74,74
1483503309,73,73
1483532120,72,72
1483548306,71,71
1483551906,72,72
1483584307,71,71
1483602310,74,74
1483638306,73,73
1483663507,72,72
1483685114,71,71
1483857908,72,72
1483872308,70,70
1483926306,69,69
1483967713,68,68
1483971309,67,67
1483973109,66,66
1483989306,65,65
1483998307,64,64
1484018107,62,62
1484025310,63,63
1484050524,62,62
1484077506,61,61
1484082906,62,62
1484102706,61,61
1484199911,60,60
1484239508,59,59
1484241307,58,58
1484246707,57,57
1484293507,56,56
1484302508,55,55
1484316909,55,55
1484334907,54,54
1484345708,53,53
1484390710,52,52
1484394309,50,50
1484422207,48,48
1484471714,47,47
1484475308,46,46
1484532907,44,44
1484559909,45,45
1484579709,46,46
1484597707,45,45
1484615707,43,43
1484621107,42,42
1484637310,41,41
1484662511,44,44
1484747132,43,43
1484811909,45,45
1484833509,46,46
1484837111,45,45
1484840707,46,46
1484901912,47,47
1484903710,46,46
1484910910,47,47
1484930708,48,48
1484934307,47,47
1484955907,48,48
1484988311,49,49
1484997309,51,51
1485006307,52,52
1485056707,51,51
1485063932,50,50
1485076508,51,51
1485080110,50,50
1485081926,49,49
1485107107,48,48
1485125107,49,49
1485139507,48,48
1485162909,49,49
1485227707,48,48
1485229508,44,44
1485238515,46,46
1485245707,47,47
