DateTime,AddedIPs,RemovedIPs
1485618000,6,4
1485621600,956,9
1485625201,9,7
1485628800,0,1
1485632400,8,8
1485639601,3,7
1485646800,5,6
1485654000,7,6
1485661200,7,8
1485668400,10,4
1485675601,2,9
1485682800,4,10
1485686401,1,0
1485690000,4,6
1485697200,7,8
1485700800,0,1
1485704401,7,11
1485708001,945,1
1485711601,8,6
1485714001,0,1
1485715200,0,2
1485718800,4,9
1485726001,6,8
1485729600,0,3
1485733200,4,14
1485736800,0,2
1485740400,1,5
1485748201,8,11
1485751200,0,2
1485754801,10,1
1485762000,4,5
1485769200,19,10
1485776400,7,5
1485783600,4,9
1485790801,3,6
1485794400,1125,1
1485798000,4,4
1485801600,0,1
1485805200,3,8
1485808800,2,1
1485812400,7,4
1485816000,0,2
1485819600,6,9
1485826800,10,6
1485830401,0,2
1485834000,9,10
1485841800,5,8
1485848400,3,3
1485855600,6,2
1485859201,0,1
1485862800,2,11
1485870600,6,6
1485873601,1,1
1485877200,4,7
1485880800,841,0
1485883200,8,2
1485888001,0,1
1485891601,5,7
1485893401,0,1
1485898800,6,6
1485906000,7,3
1485913200,9,8
1485920400,11,10
1485922801,0,1
1485924000,282,0
1485927600,5,6
1485930001,0,1
1485934800,4,10
1485942001,9,3
1485945600,1,0
1485949200,7,3
1485954600,0,2
1485956400,7,4
1485963600,3,8
1485967200,170,2
1485970801,5,4
1485978000,4,6
1485981600,1,0
1485985200,8,3
1485988800,1,0
1485992400,11,13
1485996001,1,0
1486000200,9,5
1486006801,2,9
1486014001,9,4
1486021200,4,7
1486028400,7,6
1486035601,8,5
1486042800,4,7
1486048200,0,2
1486050000,9,7
1486053600,468,1
1486057200,7,2
1486065000,3,8
1486068000,0,1024
1486071600,9,6
1486074001,0,1
1486078800,8,13
1486086001,5,8
1486093200,8,3
1486100401,8,8
1486107601,9,6
1486114800,5,6
1486122000,5,0
1486129201,4,6
1486136400,10,1
1486140000,649,2
1486143601,9,5
1486151400,5,7
1486154400,0,1
1486158600,6,14
1486160401,0,23
1486161601,0,36
1486165800,6,62
1486168800,0,36
1486172400,10,39
1486176000,0,49
1486179600,6,47
1486183800,1,54
1486186800,5,52
1486190400,0,41
1486194000,5,53
1486197600,0,40
1486201201,5,61
1486204800,0,44
1486208400,10,62
1486212000,0,62
1486215601,3,53
1486219200,0,52
1486222801,5,61
1486226400,0,47
1486228800,735,1
1486230000,6,80
1486233601,1,40
1486237200,6,67
1486241400,0,33
1486244400,1,43
1486248000,0,37
1486251600,3,45
1486255200,3,46
1486258800,8,49
1486262401,0,37
1486266000,3,57
1486269601,0,30
1486273200,7,41
1486276801,0,43
1486280400,3,47
1486282800,0,1
1486284000,0,39
1486287600,6,37
1486291200,0,36
1486294800,11,45
1486298400,0,53
1486302000,3,47
1486305601,0,45
1486309200,9,53
1486312800,0,34
1486315201,717,1
1486317000,6,69
1486320001,0,36
1486323601,4,45
1486327200,0,37
1486330800,6,45
1486334400,0,37
1486338001,6,52
1486341600,0,37
1486345200,8,54
1486348800,0,36
1486352400,6,45
1486356000,0,41
1486359600,9,39
1486363200,0,37
1486366800,4,46
1486370400,0,42
1486374000,6,63
1486377600,1,39
1486381201,5,46
1486384800,0,46
1486388400,6,68
1486390800,0,2
1486392601,2,44
1486393801,0,13
1486395600,22,45
1486399201,0,30
1486401601,956,0
1486402801,7,35
1486406401,0,30
1486410000,7,39
1486413601,4,46
1486417200,6,54
1486420800,0,39
1486424401,3,39
1486428000,0,52
1486431600,6,40
1486433400,0,1
1486435200,1,48
1486438800,4,46
1486442400,0,37
1486446000,10,44
1486449601,0,41
1486453201,7,52
1486456801,0,37
1486460400,8,60
1486464000,1,35
1486466400,0,1
1486467600,6,45
1486471800,0,38
1486474800,6,48
1486478400,0,31
1486482000,3,27
1486485601,0,37
1486487400,1097,5
1486489200,8,37
1486493400,0,212
1486495201,46,0
1486496400,9,8
1486498200,0,951
1486503600,130,6
1486507201,0,1
1486510801,86,6
1486512600,1,1
1486518000,7,6
1486521600,0,2
1486525200,2,9
1486532401,8,5
1486539600,3,10
1486546800,10,3
1486550401,4,0
1486554000,5,5
1486561201,4,8
1486569000,6,7
1486572000,1,840
1486575600,5,8
1486581000,969,0
1486582800,9,8
1486586400,1,0
1486590000,5,9
1486591800,0,1
1486593600,216,0
1486597201,3,8
1486599601,49,0
1486604400,13,4
