DateTime,Entries,UniqueIPs
1485560400,21641,21641
1485567601,21641,21641
1485571201,21639,21639
1485574801,21636,21636
1485579000,21636,21636
1485582000,21628,21628
1485589200,21630,21630
1485596400,21632,21632
1485603600,21631,21631
1485607201,21629,21629
1485610800,21625,21625
1485618000,21627,21627
1485621600,22574,22574
1485625201,22576,22576
1485628800,22575,22575
1485632400,22575,22575
1485639601,22571,22571
1485646800,22570,22570
1485654000,22571,22571
1485661200,22570,22570
1485668400,22576,22576
1485675601,22569,22569
1485682800,22563,22563
1485686401,22564,22564
1485690000,22562,22562
1485697200,22561,22561
1485700800,22560,22560
1485704401,22556,22556
1485708001,23500,23500
1485711601,23502,23502
1485714001,23501,23501
1485715200,23499,23499
1485718800,23494,23494
1485726001,23492,23492
1485729600,23489,23489
1485733200,23479,23479
1485736800,23477,23477
1485740400,23473,23473
1485748201,23470,23470
1485751200,23468,23468
1485754801,23477,23477
1485762000,23476,23476
1485769200,23485,23485
1485776400,23487,23487
1485783600,23482,23482
1485790801,23479,23479
1485794400,24603,24603
1485798000,24603,24603
1485801600,24602,24602
1485805200,24597,24597
1485808800,24598,24598
1485812400,24601,24601
1485816000,24599,24599
1485819600,24596,24596
1485826800,24600,24600
1485830401,24598,24598
1485834000,24597,24597
1485841800,24594,24594
1485848400,24594,24594
1485855600,24598,24598
1485859201,24597,24597
1485862800,24588,24588
1485870600,24588,24588
1485873601,24588,24588
1485877200,24585,24585
1485880800,25426,25426
1485883200,25432,25432
1485888001,25431,25431
1485891601,25429,25429
1485893401,25428,25428
1485898800,25428,25428
1485906000,25432,25432
1485913200,25433,25433
1485920400,25434,25434
1485922801,25433,25433
1485924000,25715,25715
1485927600,25714,25714
1485930001,25713,25713
1485934800,25707,25707
1485942001,25713,25713
1485945600,25714,25714
1485949200,25718,25718
1485954600,25716,25716
1485956400,25719,25719
1485963600,25714,25714
1485967200,25882,25882
1485970801,25883,25883
1485978000,25881,25881
1485981600,25882,25882
1485985200,25887,25887
1485988800,25888,25888
1485992400,25886,25886
1485996001,25887,25887
1486000200,25891,25891
1486006801,25884,25884
1486014001,25889,25889
1486021200,25886,25886
1486028400,25887,25887
