DateTime,Entries,UniqueIPs
1485961418,1370,1434
1485964964,1366,1430
1485972219,1367,1431
1485975758,1362,1426
1485979418,1364,1427
1485982960,1368,1431
1485986564,1369,1432
1485990218,1374,1436
1485993819,1373,1435
1485997420,1377,1439
1486000958,1377,1439
1486004620,1376,1438
1486008219,1373,1435
1486011758,1375,1437
1486015358,1372,1434
1486018960,1370,1432
1486022558,1374,1436
1486026158,1374,1436
1486029820,1375,1437
1486033366,1377,1439
1486037020,1378,1440
1486040618,1379,1441
1486044222,1371,1433
1486047759,1372,1434
1486051360,1376,1438
1486055020,1378,1440
1486058565,1373,1435
1486062159,1375,1437
1486065759,1376,1438
1486069360,1377,1439
1486073026,1379,1441
1486076559,1377,1438
1486080163,1379,1440
1486083761,1380,1441
1486087421,1380,1441
1486090961,1383,1444
1486094564,1380,1441
1486098161,1385,1446
1486101761,1388,1449
1486105360,1389,1450
1486109019,1386,1447
1486112575,1383,1444
1486116221,1383,1444
1486119831,1383,1444
1486123420,1384,1445
1486127021,1387,1448
1486130561,1388,1449
1486134160,1384,1445
1486137761,1387,1449
1486141360,1385,1447
1486144960,1386,1448
1486148560,1387,1449
1486152221,1387,1449
1486155760,1385,1446
1486159422,1380,1441
1486163021,1384,1445
1486166560,1385,1446
1486170161,1391,1452
1486173821,1392,1453
1486177362,1388,1449
1486184562,1386,1447
1486188160,1388,1449
1486195362,1384,1445
1486199021,1385,1446
1486202561,1385,1446
1486206162,1385,1446
1486213361,1383,1443
1486216961,1382,1442
1486220561,1383,1443
1486224222,1382,1442
1486227762,1383,1443
1486231362,1383,1443
1486234962,1385,1446
1486238562,1383,1444
1486242162,1380,1441
1486245821,1378,1439
1486249362,1380,1441
1486252961,1376,1437
1486256562,1378,1439
1486260161,1375,1436
1486267363,1370,1431
1486270963,1372,1433
1486274563,1373,1434
1486278163,1370,1431
1486281762,1371,1432
1486285422,1373,1434
1486288963,1379,1440
1486292562,1376,1437
1486296222,1371,1432
1486299762,1372,1433
1486303363,1373,1434
1486307023,1373,1435
1486310623,1373,1435
1486317762,1375,1437
1486321366,1376,1438
1486325022,1376,1438
1486328622,1372,1434
1486332164,1374,1436
1486335762,1375,1438
1486339362,1377,1440
1486342963,1380,1443
1486346563,1378,1441
1486350164,1374,1437
1486353764,1377,1440
1486357423,1370,1433
1486360964,1372,1435
1486364563,1372,1435
1486368164,1365,1428
1486371823,1367,1430
1486375363,1367,1430
1486378963,1368,1431
1486386163,1367,1430
1486389823,1368,1431
1486393423,1372,1435
1486396963,1371,1434
1486400625,1376,1439
1486404165,1373,1436
1486407765,1375,1438
1486411363,1372,1435
1486414963,1375,1438
1486418564,1375,1438
1486422165,1369,1433
1486425824,1367,1433
1486429364,1366,1432
1486432964,1364,1430
1486436564,1362,1428
1486440225,1366,1432
1486443825,1366,1432
1486447364,1367,1433
1486450964,1367,1433
1486454565,1366,1432
1486458164,1369,1435
1486461765,1365,1431
1486465364,1367,1433
1486468964,1366,1432
1486472565,1365,1431
1486479766,1363,1429
1486483365,1364,1430
1486486965,1365,1431
1486490625,1365,1431
1486494166,1367,1433
1486497825,1369,1435
1486501366,1364,1430
1486504965,1365,1431
1486508565,1363,1429
1486512166,1360,1426
1486515765,1359,1425
1486519365,1354,1420
1486526567,1355,1421
1486530166,1356,1422
1486533765,1353,1419
1486537366,1351,1417
1486540965,1354,1420
1486544565,1351,1417
1486548167,1352,1418
1486551827,1354,1420
1486555366,1355,1421
1486558966,1356,1422
1486562626,1353,1419
1486566166,1355,1421
1486569766,1358,1424
1486573366,1357,1423
1486576967,1361,1427
1486580567,1359,1425
1486584166,1360,1427
1486587767,1358,1425
1486591367,1356,1422
1486594967,1352,1418
1486598627,1355,1421
1486602167,1355,1421
1486605766,1357,1423
1486609367,1352,1418
1486613027,1355,1421
1486616566,1352,1418
1486620227,1353,1419
1486623767,1355,1421
1486627366,1352,1418
1486631026,1353,1419
1486634566,1347,1412
1486638227,1349,1414
1486641828,1348,1413
1486645368,1344,1409
1486648968,1347,1412
1486652568,1346,1411
1486656169,1345,1410
1486659770,1349,1414
1486663367,1352,1417
1486666968,1346,1411
1486670568,1347,1412
1486674167,1348,1413
1486677828,1344,1409
1486681367,1343,1408
1486684967,1344,1410
1486688567,1345,1411
1486692167,1348,1414
1486695768,1348,1414
1486699367,1344,1410
1486703029,1337,1403
1486706567,1340,1406
1486710167,1336,1402
1486713829,1338,1404
1486717428,1338,1404
1486720969,1333,1399
1486724629,1327,1393
1486731768,1325,1391
1486735368,1324,1390
1486738969,1326,1392
1486742568,1323,1389
1486746168,1326,1392
1486749768,1324,1390
1486753368,1323,1389
1486756968,1325,1391
1486760569,1325,1391
1486764169,1329,1395
1486767769,1326,1392
1486771369,1323,1389
1486775030,1326,1392
1486778570,1325,1391
1486782169,1327,1393
1486785769,1325,1391
1486789429,1327,1393
1486792970,1330,1395
1486796569,1330,1395
1486800170,1331,1396
1486803830,1328,1393
1486807370,1329,1394
1486810970,1326,1391
1486814570,1331,1396
1486818169,1333,1398
1486821829,1334,1399
1486825370,1335,1400
1486828970,1335,1400
1486832570,1337,1402
1486836170,1339,1404
1486839769,1343,1408
1486843370,1343,1408
1486847030,1342,1407
1486850569,1345,1410
1486854229,1340,1405
1486857769,1343,1408
1486861371,1343,1408
1486864971,1344,1409
1486868572,1344,1409
1486872171,1341,1406
1486875771,1340,1404
1486879430,1338,1402
1486886572,1341,1405
1486890170,1334,1398
1486893772,1335,1399
1486897430,1334,1398
1486901031,1335,1399
1486904571,1335,1399
1486908170,1337,1401
1486911771,1339,1403
1486918971,1338,1402
1486922631,1338,1403
1486926231,1338,1403
1486929831,1337,1402
1486933372,1338,1403
1486936971,1338,1403
1486940571,1335,1400
1486944171,1337,1402
1486947771,1339,1404
1486951372,1337,1400
1486954972,1340,1403
1486958632,1339,1402
1486962231,1341,1404
1486965771,1336,1399
1486969372,1334,1397
1486972972,1336,1399
1486976571,1333,1396
1486990971,1329,1392
1486994571,1328,1391
1486998171,1329,1392
1487001772,1330,1393
1487005373,1332,1395
1487008972,1332,1395
1487012571,1333,1396
1487016171,1332,1395
1487019773,1333,1396
1487023433,1333,1396
1487026973,1335,1398
1487030573,1331,1394
1487034173,1334,1397
1487037772,1338,1401
1487041372,1339,1402
1487044973,1335,1398
1487048573,1333,1396
1487052173,1332,1395
1487055832,1328,1391
1487059432,1321,1384
1487066632,1318,1381
1487070172,1316,1379
1487073772,1318,1381
1487077373,1322,1385
1487080972,1321,1384
1487084573,1324,1387
1487088173,1323,1386
1487095396,1319,1382
1487102573,1320,1383
1487106233,1318,1381
1487109840,1316,1379
1487113374,1314,1377
1487116974,1315,1378
1487120574,1312,1375
1487124174,1314,1377
1487127774,1311,1374
1487131373,1313,1376
1487134974,1312,1375
1487138574,1310,1373
1487142174,1305,1368
1487145773,1303,1366
1487152973,1302,1365
1487156573,1302,1365
1487160234,1306,1369
1487163775,1304,1367
1487167375,1305,1368
1487170976,1308,1371
1487174576,1309,1372
1487178235,1308,1371
1487181775,1306,1369
1487185376,1307,1370
1487188975,1308,1371
1487192575,1308,1370
1487196177,1310,1372
1487199775,1308,1370
1487203377,1311,1373
1487206976,1310,1372
1487210577,1307,1369
1487214235,1310,1372
1487217777,1307,1369
1487221376,1309,1371
1487224976,1305,1367
1487228576,1304,1355
1487232177,1307,1358
1487235777,1309,1360
1487239376,1308,1359
1487242976,1309,1360
1487246577,1306,1358
1487250178,1307,1359
1487253778,1303,1353
1487260978,1305,1354
1487264578,1302,1351
1487265901,1301,1350
1487268180,1319,1369
1487271780,1318,1368
1487275380,1324,1374
1487278980,1325,1375
1487282580,1326,1376
1487286180,1327,1377
1487289780,1328,1378
1487293380,1325,1375
1487296980,1316,1366
1487300580,1315,1365
1487304180,1311,1361
1487307780,1314,1364
1487311380,1307,1358
1487314980,1308,1359
1487318580,1305,1356
1487322180,1306,1357
1487325780,1304,1355
1487329380,1306,1357
1487332981,1309,1360
1487336580,1310,1361
1487340180,1314,1365
1487343781,1317,1368
1487347381,1316,1367
1487354581,1316,1367
1487358181,1315,1366
1487361781,1313,1364
1487365381,1312,1363
1487368981,1313,1364
1487372581,1314,1365
1487376181,1319,1370
1487379782,1318,1369
1487383322,1322,1387
1487386982,1321,1386
1487390522,1316,1381
1487394182,1316,1381
1487397782,1317,1384
1487401382,1316,1382
1487404982,1319,1385
1487408582,1318,1384
1487412182,1320,1386
1487415782,1324,1390
1487419383,1324,1390
1487422983,1322,1388
1487430183,1324,1390
1487433784,1325,1391
1487437383,1323,1389
1487440983,1325,1391
1487444584,1324,1390
1487448183,1326,1392
1487451786,1328,1396
1487455386,1324,1392
1487462586,1324,1392
1487466186,1324,1392
1487469726,1325,1393
1487473330,1320,1388
1487480590,1321,1389
1487484190,1319,1387
1487487791,1319,1387
1487491331,1318,1386
1487494931,1322,1390
1487498591,1321,1389
1487505732,1319,1386
1487509391,1320,1387
1487512991,1315,1382
1487516591,1316,1383
1487520191,1313,1380
1487523791,1315,1382
1487527391,1313,1380
1487530992,1310,1377
1487534592,1313,1380
1487538192,1315,1382
1487541792,1314,1381
1487545392,1317,1384
1487548992,1315,1382
1487552592,1314,1381
1487556192,1313,1380
1487559792,1314,1381
1487563332,1310,1377
1487566992,1315,1382
1487570592,1312,1379
1487574192,1313,1380
1487577792,1312,1379
1487581392,1314,1381
1487584932,1316,1384
1487588592,1318,1386
1487592192,1316,1384
1487599332,1321,1389
1487602993,1320,1388
1487606592,1321,1389
1487610192,1321,1389
1487613792,1323,1391
1487617392,1321,1389
1487620993,1323,1391
1487624593,1323,1391
1487628193,1325,1393
1487631793,1323,1391
1487635393,1329,1398
1487638933,1327,1396
1487642593,1326,1395
1487646193,1326,1395
1487649793,1327,1396
1487653393,1325,1394
1487656993,1325,1394
1487660593,1329,1398
1487664193,1328,1397
1487667793,1329,1398
1487675000,1324,1393
