DateTime,Entries,UniqueIPs
1483470222,994,994
1483473823,998,998
1483477362,995,995
1483479102,998,998
1483481022,995,995
1483484622,1000,1000
1483486602,996,996
1483488169,992,992
1483491774,991,991
1483495362,987,987
1483499022,988,988
1483501422,989,989
1483506223,990,990
1483509823,989,989
1483511442,990,990
1483517022,989,989
1483519303,989,989
1483524163,988,988
1483527764,990,990
1483531363,989,989
1483534962,988,988
1483536643,987,987
1483538563,986,986
1483542223,990,990
1483544503,994,994
1483545764,986,986
1483549363,986,986
1483552063,990,990
1483556623,988,988
1483560164,988,988
1483561843,988,988
1483563763,987,987
1483567364,989,989
1483570123,990,990
1483574565,998,998
1483578163,1000,1000
1483579903,1001,1001
1483585365,1001,1001
1483589023,998,998
1483590643,999,999
1483596165,997,997
1483598803,996,996
1483599765,995,995
1483603363,996,996
1483606965,995,995
1483609004,995,995
1483610563,994,994
1483614163,998,998
1483617764,993,993
1483619444,998,998
1483625025,1002,1002
1483627004,1004,1004
1483632165,1002,1002
1483635768,1001,1001
1483637444,1005,1005
1483639369,1005,1005
1483642964,1009,1009
1483645604,1008,1008
1483646624,1007,1007
1483650224,1009,1009
1483653765,1011,1011
1483655564,1012,1012
1483660966,1008,1008
1483664564,1006,1006
1483666244,1007,1007
1483668170,1006,1006
1483671764,1006,1006
1483674164,1005,1005
1483678965,1003,1003
1483682624,1002,1002
1483684364,1004,1004
1483686166,1001,1001
1483689764,1001,1001
1483693426,1000,1000
1483695045,1000,1000
1483696965,999,999
1483700564,999,999
1483703265,998,998
1483704165,995,995
1483707826,995,995
1483711371,994,994
1483713405,995,995
1483718573,996,996
1483722170,999,999
1483723905,1001,1001
1483725765,1002,1002
1483729367,996,996
1483732065,996,996
1483736625,997,997
1483740165,993,993
1483742572,993,993
1483743771,1013,1013
1483747371,1014,1014
1483750971,1014,1014
1483754631,1012,1012
1483758171,1012,1012
1483761771,1011,1011
1483765371,1008,1008
1483768971,1009,1009
1483772571,1008,1008
1483776171,1008,1008
1483779772,1009,1009
1483783372,1008,1008
1483786972,1007,1007
1483790572,1008,1008
1483794232,1014,1014
1483797772,1012,1012
1483801372,1016,1016
1483804972,1016,1016
1483808572,1012,1012
1483812172,1011,1011
1483815772,1014,1014
1483819372,1013,1013
1483822972,1016,1016
1483826572,1015,1015
1483830172,1010,1010
1483833772,1010,1010
1483837373,1007,1007
1483840972,1015,1015
1483844572,1012,1012
1483848172,1011,1011
1483851772,1009,1009
1483858972,1006,1006
1483862572,1007,1007
1483866173,1006,1006
1483869773,1008,1008
1483873373,1005,1005
1483876973,1005,1005
1483880573,1006,1006
1483884233,1003,1003
1483887833,1002,1002
1483891373,1002,1002
1483894973,1000,1000
1483898573,1000,1000
1483902173,1001,1001
