DateTime,Entries,UniqueIPs
1483790252,7468,7468
1483794157,7466,7466
1483797963,7466,7466
1483805656,7464,7464
1483809731,7462,7462
1483817379,7461,7461
1483821207,7462,7462
1483825052,7463,7463
1483828867,7463,7463
1483832710,7464,7464
1483836557,7465,7465
1483840403,7463,7463
1483844242,7462,7462
1483848146,7462,7462
1483855759,7462,7462
1483859611,7464,7464
1483863704,7465,7465
1483867525,7462,7462
1483871369,7462,7462
1483875199,7465,7465
1483879042,7460,7460
1483882869,7460,7460
1483886710,7461,7461
1483890566,7460,7460
1483894493,7459,7459
1483898240,7458,7458
1483902142,7459,7459
1483906113,7457,7457
1483910010,7458,7458
1483914099,7466,7466
1483917927,7465,7465
1483921756,7472,7472
1483925610,7469,7469
1483929448,7472,7472
1483933276,7470,7470
1483937110,7471,7471
1483940966,7469,7469
1483944811,7468,7468
1483948639,7472,7472
1483952552,7465,7465
1483956316,7463,7463
1483960178,7463,7463
1483964022,7460,7460
1483967841,7459,7459
1483971928,7464,7464
1483975760,7463,7463
1483979606,7460,7460
1483983441,7456,7456
1483987299,7455,7455
1483991107,7455,7455
1483994952,7453,7453
1483998798,7455,7455
1484002649,7453,7453
1484006739,7451,7451
1484010566,7451,7451
1484014421,7451,7451
1484018254,7451,7451
1484022073,7450,7450
1484025905,7450,7450
1484029753,7450,7450
1484033594,7450,7450
1484037693,7447,7447
1484041507,7444,7444
1484045359,7446,7446
1484049206,7452,7452
1484053044,7448,7448
1484056946,7447,7447
1484060758,7446,7446
1484064568,7448,7448
1484068422,7444,7444
1484072509,7444,7444
1484076315,7441,7441
1484080426,7441,7441
1484084257,7443,7443
1484087977,7442,7442
1484091721,7436,7436
1484095535,7438,7438
1484099393,7436,7436
1484103247,7445,7445
1484107015,26,26
1484111210,42,42
1484114899,66,66
1484118768,81,81
1484122844,98,98
1484126666,114,114
1484130502,129,129
1484134364,153,153
1484138214,183,183
1484142049,201,201
1484145879,219,219
1484149951,226,226
1484153795,229,229
1484157684,231,231
1484161457,232,232
1484165354,233,233
1484169169,235,235
1484173373,239,239
1484177062,241,241
1484180913,349,349
1484184795,510,510
1484188595,621,621
1484192448,730,730
1484196281,828,828
1484200105,916,916
1484203942,901,901
1484207794,903,903
1484211683,904,904
1484215742,906,906
1484219558,913,913
1484231078,914,914
1484234925,916,916
1484238764,917,917
1484242851,916,916
1484250517,917,917
1484258205,918,918
1484273569,919,919
1484281240,919,919
1484288923,919,919
1484292760,920,920
1484296610,921,921
1484300428,923,923
1484304277,921,921
1484311956,922,922
1484331413,929,929
1484335227,935,935
1484339086,942,942
1484342920,946,946
1484346765,951,951
1484350612,954,954
1484354447,954,954
1484369800,953,953
1484373703,954,954
1484377745,954,954
1484381823,953,953
1484385639,952,952
1484389479,951,951
