DateTime,Entries,UniqueIPs
1483790666,2254,2254
1483794467,2251,2251
1483798647,2250,2250
1483802727,2247,2247
1483806816,2244,2244
1483810878,2238,2238
1483814710,2239,2239
1483818558,2237,2237
1483822393,2236,2236
1483826243,2235,2235
1483829948,2236,2236
1483833714,2237,2237
1483841351,2235,2235
1483849040,2238,2238
1483856747,2236,2236
1483860584,2236,2236
1483864649,2237,2237
1483868521,2232,2232
1483872356,2234,2234
1483876168,2235,2235
1483880030,2234,2234
1483883841,2230,2230
1483887726,2234,2234
1483891556,2231,2231
1483895341,2230,2230
1483899209,2229,2229
1483903046,2228,2228
1483907123,2229,2229
1483911254,2228,2228
1483915071,2231,2231
1483918905,2232,2232
1483922713,2233,2233
1483926554,2232,2232
1483930392,2233,2233
1483934246,2232,2232
1483938138,2233,2233
1483941921,2232,2232
1483945767,2233,2233
1483949609,2234,2234
1483953448,2231,2231
1483957284,2232,2232
1483961120,2231,2231
1483964971,2228,2228
1483968815,2228,2228
1483972884,2230,2230
1483976728,2226,2226
1483980547,2225,2225
1483992149,2227,2227
1483996149,2230,2230
1483999981,2228,2228
1484003818,2230,2230
1484007674,2232,2232
1484011518,2235,2235
1484015340,2231,2231
1484023258,2231,2231
1484027095,2233,2233
1484030938,2233,2233
1484034775,2234,2234
1484042519,2233,2233
1484050167,2234,2234
1484054027,2235,2235
1484058065,2234,2234
1484061901,2234,2234
1484065751,2237,2237
1484069620,2234,2234
1484073456,2232,2232
1484077271,2231,2231
1484084972,2232,2232
1484092642,2233,2233
1484096543,2230,2230
1484100330,2231,2231
1484107959,6,6
1484111782,11,11
1484115645,14,14
1484119466,18,18
1484127156,23,23
1484130991,28,28
1484138678,29,29
1484142515,30,30
1484146363,31,31
1484150213,34,34
1484154076,36,36
1484157871,37,37
1484161720,43,43
1484173389,46,46
1484184804,48,48
1484192458,49,49
1484200118,51,51
1484203950,53,53
1484207803,55,55
1484211692,59,59
1484215750,60,60
1484219565,63,63
1484223412,66,66
1484231086,70,70
1484234934,73,73
1484238775,76,76
1484242860,79,79
1484250525,82,82
1484258214,84,84
1484262129,89,89
1484273577,91,91
1484281249,92,92
1484285097,94,94
1484288935,95,95
1484292769,97,97
1484296620,98,98
1484300443,105,105
1484304286,106,106
1484311964,107,107
1484327566,116,116
1484331424,117,117
1484335237,122,122
1484342930,127,127
1484346775,131,131
1484350622,133,133
1484354456,136,136
1484369811,143,143
1484373713,144,144
1484377757,145,145
1484381832,147,147
1484385648,149,149
1484389490,151,151
1484393321,154,154
1484401711,159,159
1484405554,160,160
1484409412,161,161
1484413323,163,163
1484417085,164,164
1484420959,169,169
1484432448,173,173
1484436278,176,176
1484451650,147,147
1484455465,149,149
1484463169,152,152
1484467006,151,151
1484470911,153,153
1484474942,156,156
1484478777,157,157
1484482598,157,157
1484486454,158,158
1484490293,160,160
1484494126,162,162
1484497981,162,162
1484501805,161,161
1484505633,160,160
1484513323,159,159
1484517196,158,158
