DateTime,Entries,UniqueIPs
1483790623,8628,8628
1483794385,8794,8794
1483798117,9031,9031
1483801971,9028,9028
1483805926,9095,9095
1483809999,9479,9479
1483813749,9474,9474
1483817599,9475,9475
1483821395,9482,9482
1483825219,9485,9485
1483829021,9481,9481
1483832865,9480,9480
1483836718,9507,9507
1483840561,9557,9557
1483844411,9580,9580
1483848334,9540,9540
1483852080,9535,9535
1483855948,9521,9521
1483859780,9493,9493
1483863894,9621,9621
1483867746,9596,9596
1483871565,9618,9618
1483875354,9648,9648
1483879215,9632,9632
1483883024,9619,9619
1483886866,9619,9619
1483890744,9620,9620
1483894674,9582,9582
1483898413,9595,9595
1483902288,9609,9609
1483906280,9609,9609
1483910165,9623,9623
1483914250,9620,9620
1483918113,9596,9596
1483921906,9603,9603
1483925779,9583,9583
1483929601,9574,9574
1483933453,9568,9568
1483937264,9563,9563
1483941152,9608,9608
1483944965,9611,9611
1483948794,9601,9601
1483952734,9542,9542
1483956464,9518,9518
1483960325,9515,9515
1483964191,9498,9498
1483968011,9500,9500
1483972070,9503,9503
1483975937,9462,9462
1483979758,9437,9437
1483983610,9479,9479
1483987442,9481,9481
1483991253,9478,9478
1483995097,9477,9477
1483998959,9473,9473
1484002799,9468,9468
1484006892,9467,9467
1484010718,9477,9477
1484014571,9471,9471
1484020426,9484,9484
1484024216,9473,9473
1484028123,9484,9484
1484031940,9464,9464
1484035793,9501,9501
1484039640,9490,9490
1484043468,9527,9527
1484047315,9521,9521
1484051126,9511,9511
1484054948,9541,9541
1484058798,9552,9552
1484062920,9556,9556
1484066731,9543,9543
1484070567,9531,9531
1484074411,9533,9533
1484078256,9547,9547
1484082127,9599,9599
1484086220,9635,9635
1484090367,9686,9686
1484094204,9709,9709
1484098014,9711,9711
1484101804,9736,9736
1484105573,160,160
1484109398,998,998
1484113226,995,995
1484117070,996,996
1484120922,994,994
1484124769,992,992
1484128594,996,996
1484132506,999,999
1484136273,999,999
1484140141,999,999
1484143969,999,999
1484147790,999,999
1484151644,990,990
1484155463,990,990
1484159329,991,991
1484163177,990,990
1484166994,997,997
1484170835,995,995
1484174680,998,998
1484178363,997,997
1484182102,998,998
1484185958,998,998
1484189811,997,997
1484193685,992,992
1484197466,986,986
1484201326,977,977
1484205167,981,981
1484209020,997,997
1484212845,995,995
1484216675,996,996
1484220524,995,995
1484228343,989,989
1484232052,929,929
1484235876,983,983
1484239727,993,993
1484243548,991,991
1484247396,990,990
1484259164,958,958
1484275012,905,905
1484278841,909,909
1484282706,882,882
1484286535,961,961
1484290372,959,959
1484294219,982,982
1484298115,980,980
1484302134,978,978
1484305958,981,981
1484310070,962,962
1484313883,915,915
1484317977,906,906
1484325922,857,857
1484329716,838,838
1484333556,869,869
1484337754,989,989
1484341476,985,985
1484345326,991,991
1484349166,986,986
1484353031,980,980
1484356860,975,975
1484360670,948,948
1484368369,925,925
1484372204,927,927
1484379871,982,982
1484383736,992,992
1484387571,992,992
1484391556,977,977
1484399991,972,972
1484404612,921,921
1484408453,920,920
1484412286,983,983
1484416136,982,982
1484419975,989,989
1484423803,986,986
1484435560,967,967
1484443240,942,942
1484447071,947,947
1484450901,447,447
1484454771,449,449
1484458589,448,448
1484462422,446,446
1484466253,445,445
1484470114,451,451
1484473977,450,450
1484477814,451,451
1484481698,451,451
1484485733,450,450
1484489557,447,447
1484493647,444,444
1484497469,446,446
1484501322,446,446
