DateTime,Entries,UniqueIPs
1483790711,5852,5852
1483794543,5612,5612
1483798685,5549,5549
1483802767,5539,5539
1483806863,5190,5190
1483810918,5097,5097
1483814754,5122,5122
1483818598,5201,5201
1483822430,5254,5254
1483826283,5305,5305
1483829986,5316,5316
1483833756,5383,5383
1483837561,5385,5385
1483841391,5480,5480
1483845255,5486,5486
1483849080,5511,5511
1483852930,5567,5567
1483856828,5531,5531
1483860667,5687,5687
1483864696,5908,5908
1483868611,5948,5948
1483872442,5832,5832
1483876239,5852,5852
1483880107,5931,5931
1483883907,6139,6139
1483887794,6418,6418
1483891638,6633,6633
1483895389,6817,6817
1483899248,7017,7017
1483903083,7268,7268
1483907162,7287,7287
1483911329,7280,7280
1483915142,7389,7389
1483918971,7548,7548
1483922780,7788,7788
1483926594,8030,8030
1483930430,8262,8262
1483934284,8294,8294
1483938178,8364,8364
1483941968,8510,8510
1483945808,8486,8486
1483949651,8509,8509
1483953488,8598,8598
1483957323,8603,8603
1483961163,8563,8563
1483965010,8197,8197
1483968854,8162,8162
1483972925,8168,8168
1483976775,7942,7942
1483980585,7854,7854
1483984432,7882,7882
1483988265,7990,7990
1483992187,8097,8097
1483996188,8233,8233
1484000017,8252,8252
1484003854,8429,8429
1484007713,8354,8354
1484011557,8566,8566
1484015377,8550,8550
1484019483,8614,8614
1484023295,8783,8783
1484027132,8782,8782
1484030976,8740,8740
1484034814,8957,8957
1484038669,8855,8855
1484042556,8599,8599
1484046363,8589,8589
1484050206,8462,8462
1484054065,8207,8207
1484058102,8247,8247
1484061940,8232,8232
1484065792,8057,8057
1484069672,7894,7894
1484073515,7994,7994
1484077319,8059,8059
1484081163,8173,8173
1484085021,8203,8203
1484088860,8382,8382
1484092688,8271,8271
1484096590,8455,8455
1484100373,8472,8472
1484106037,234,234
1484109878,938,938
1484113713,984,984
1484117557,982,982
1484121397,977,977
1484125310,973,973
1484129065,981,981
1484132927,971,971
1484136775,968,968
1484140614,985,985
1484144462,974,974
1484148182,968,968
1484151867,976,976
1484155712,984,984
1484159551,978,978
1484163388,972,972
1484167240,957,957
1484171073,947,947
1484174909,936,936
1484178757,840,840
1484182601,855,855
1484186491,860,860
1484190287,849,849
1484194104,902,902
1484197963,899,899
1484201812,896,896
1484205634,953,953
1484209489,824,824
1484213335,963,963
1484217194,954,954
1484228702,959,959
1484232522,969,969
1484236368,992,992
1484240214,987,987
1484244088,975,975
1484255556,941,941
1484259384,891,891
