DateTime,Entries,UniqueIPs
1454107840,90,90
1455589209,78,78
1456199052,96,96
1456721767,97,97
1458028601,111,111
1458900020,120,120
1458987138,131,131
1459423016,111,111
1459771452,109,109
1460643408,85,85
1460730495,99,99
1460991850,102,102
1461521780,109,109
1462220893,94,94
1462569370,122,122
1464398906,151,151
1465705727,127,127
1466489794,85,85
1467012495,89,89
1467448100,87,87
1472327064,82,82
1472762654,86,86
1473285391,88,88
1473372499,82,82
1474156575,77,77
1475463653,63,63
1476509049,80,80
1476596192,84,84
1476770457,81,81
1477728751,89,89
1478251473,90,90
1478425699,80,80
1479123154,76,76
1479384517,76,76
1480342825,73,73
1480604178,74,74
1481389713,65,65
1481564182,69,69
1482261397,71,71
1482348507,74,74
1483394510,72,72
1484091635,78,78
1484178743,68,68
1484352998,82,82
1484614372,88,88
1484789072,94,94
1484963292,93,93
1485050482,125,125
1485137808,127,127
1485224893,128,128
