DateTime,Entries,UniqueIPs
1481966249,6845,6845
1481969850,7105,7105
1481973448,7277,7277
1481977051,7510,7510
1481980652,7549,7549
1481984251,7250,7250
1481987850,6830,6830
1481991746,6434,6434
1481995351,5836,5836
1481998945,5202,5202
1482002543,4673,4673
1482006141,4272,4272
1482009740,3982,3982
1482013342,3692,3692
1482016940,3457,3457
1482020537,3238,3238
1482024138,3033,3033
1482027737,2821,2821
1482031335,2498,2498
1482034935,2206,2206
1482038534,1926,1926
1482042131,1656,1656
1482045730,1375,1375
1482049327,1144,1144
1482052926,826,826
1482056526,531,531
1482060124,345,345
1482063723,95,95
1482067323,32,32
1482070923,33,33
1482074523,30,30
1482078123,28,28
1482082022,28,28
1482085621,27,27
1482089222,28,28
1482096422,26,26
1482100021,23,23
1482103622,21,21
1482107222,21,21
1482110822,23,23
1482118021,24,24
1482121923,24,24
1482125822,23,23
1482129421,24,24
1482133021,25,25
1482136622,23,23
1482140222,20,20
1482143822,21,21
1482147422,20,20
1482151022,21,21
1482154622,35,35
1482158222,51,51
1482161822,79,79
1482165423,123,123
1482169023,144,144
1482172623,147,147
1482176223,148,148
1482179823,148,148
1482183423,147,147
1482187023,148,148
1482190623,149,149
1482194224,149,149
1482197824,148,148
1482201724,149,149
1482205325,151,151
1482208924,151,151
1482212524,151,151
1482216125,159,159
1482219725,164,164
1482223325,172,172
1482226925,173,173
1482230525,175,175
1482241325,178,178
1482244924,164,164
1482248524,139,139
1482252124,103,103
1482256022,74,74
1482259924,73,73
1482263524,71,71
1482267124,84,84
1482270724,86,86
1482274325,103,103
1482277925,107,107
1482281525,115,115
1482285125,139,139
1482288725,154,154
1482292326,175,175
1482295925,202,202
1482299526,220,220
1482303126,222,222
1482306725,237,237
1482310326,244,244
1482313925,244,244
1482317526,251,251
1482321424,257,257
1482325024,260,260
1482328625,361,361
1482332226,452,452
1482335824,504,504
1482340024,503,503
1482343927,501,501
1482354726,488,488
1482358327,480,480
1482361926,466,466
1482365527,462,462
1482369126,451,451
1482373025,430,430
1482376624,410,410
1482380225,394,394
1482384126,371,371
1482387726,374,374
1482391325,381,381
1482394926,375,375
1482398525,382,382
1482402125,384,384
1482405725,379,379
1482409624,382,382
1482413525,344,344
1482417124,235,235
1482420724,131,131
1482424324,132,132
1482427924,133,133
1482431524,134,134
1482435124,136,136
1482438724,136,136
1482442323,135,135
1482449524,133,133
1482453422,134,134
1482457022,135,135
1482460623,136,136
1482464224,134,134
1482467823,134,134
1482471422,127,127
1482475022,107,107
1482478622,82,82
1482482222,63,63
1482485822,52,52
1482489422,50,50
1482493021,46,46
1482496622,39,39
1482500222,36,36
1482503822,34,34
1482507722,33,33
1482511323,31,31
1482514923,31,31
1482518523,25,25
1482522122,33,33
1482525722,37,37
1482529324,37,37
1482533221,38,38
1482536822,37,37
1482540422,35,35
1482544022,34,34
1482547622,34,34
1482551222,33,33
1482555123,31,31
1482562323,32,32
1482565923,31,31
1482569523,30,30
1482573123,29,29
1482580323,30,30
1482587523,30,30
1482591123,32,32
1482594723,30,30
1482598621,31,31
1482602222,30,30
1482605822,31,31
1482609422,23,23
1482613022,18,18
1482616621,17,17
1482620221,17,17
1482623821,16,16
1482627422,16,16
1482631022,18,18
1482634622,18,18
1482638222,19,19
1482641822,20,20
1482645422,23,23
1482649021,22,22
1482652622,23,23
1482656222,24,24
1482667022,23,23
1482670622,24,24
1482674221,24,24
1482677822,24,24
1482685022,25,25
1482688622,25,25
1482692222,28,28
1482699422,27,27
1482703022,27,27
1482706621,26,26
1482710222,26,26
1482713822,26,26
1482717422,24,24
1482721021,25,25
1482724622,26,26
1482731821,24,24
1482735422,23,23
1482739022,23,23
1482742622,24,24
1482749822,23,23
1482757022,22,22
1482760622,21,21
1482771422,20,20
