DateTime,Entries,UniqueIPs
1444755273,12012,12510
1444844750,12042,12540
1444919246,12053,12551
1445009244,12064,12562
1445098712,12080,12578
1445188179,12094,12595
1445276742,12107,12608
1445351250,12123,12625
1445440712,12137,12639
1445537917,12157,12659
1445612430,12175,12678
1445702057,12204,12707
1445790996,12229,12732
1445881531,12239,12742
1445956091,12261,12766
1446045598,12290,12795
1446135526,12318,12823
1446227729,12334,12839
1446305305,12360,12867
1446395257,12379,12886
1446483268,12395,12903
1446573366,12412,12920
1446647251,12429,12938
1446734231,12472,12981
1446824710,12483,12992
1446914587,12495,13004
1447003171,12512,13023
1447093634,12526,13037
1447168173,12536,13048
1447265380,12548,13062
1447340050,12561,13077
1447429590,12574,13090
1447519032,12598,13114
1447608448,12621,13137
1447697916,12631,13147
1447772424,12643,13159
1447862450,12665,13181
1447944859,12689,13207
1448035765,12711,13230
1448125282,12739,13260
1448215223,12756,13277
1448290705,12772,13295
1448376351,12796,13321
1448462200,12816,13343
1448579578,12833,13361
1448639441,12847,13378
1448733414,12864,13396
1448808341,12885,13417
1448897966,12902,13437
1448990839,12948,13486
1449086266,12968,13506
1449160599,12973,13511
1449244167,12989,13529
1449338965,13001,13543
1449416725,13006,13548
1449506200,12693,13186
1449598419,12708,13203
1449688761,12714,13209
1449764858,12728,13223
1449862977,12747,13244
1449937197,12758,13255
1450027637,12766,13264
1450117144,12781,13280
1450209509,12797,13296
1450285241,12813,13313
1450380210,12825,13326
1450454429,12838,13339
1450547210,12846,13348
1450636595,12858,13362
1450726067,12871,13376
1450801655,12885,13390
1450892755,12901,13407
1450982187,12914,13423
1451071641,12923,13432
1451155620,12940,13451
1451231228,12955,13466
1451321652,12968,13481
1451416722,12986,13500
1451490644,13012,13528
1451579795,13032,13550
1451669253,13051,13570
1451759877,13076,13598
1451848522,13111,13635
1451922859,13131,13655
1452011806,13153,13678
1452101247,13171,13697
1452191849,13180,13706
1452278917,13190,13718
1452368193,13205,13738
1452443275,13222,13755
1452532712,13233,13768
1452622172,13244,13780
1452711665,13250,13788
1452786337,13278,13816
1452875804,13295,13833
1452965390,13314,13854
1453054725,13326,13867
1453142895,13337,13879
1453231219,13360,13902
1453319058,13379,13920
