DateTime,Entries,UniqueIPs
1485171181,50,50
1485178381,50,50
1485181981,50,50
1485185581,51,51
1485189360,50,50
1485192782,60,60
1485196381,63,63
1485203581,60,60
1485207181,61,61
1485214381,61,61
1485217981,58,58
1485225181,50,50
1485228781,60,60
1485235981,60,60
1485239581,50,50
1485243181,61,61
1485246781,60,60
1485250382,60,60
1485254161,50,50
1485264781,64,64
1485268381,67,67
1485271981,50,50
1485275582,71,71
1485279181,50,50
1485282781,71,71
1485286381,69,69
1485289981,70,70
1485293581,50,50
1485300781,68,68
1485307981,67,67
1485311760,50,50
1485315181,65,65
1485318781,50,50
1485322381,64,64
1485329581,65,65
1485336781,50,50
1485340381,67,67
1485343981,69,69
1485347581,50,50
1485354781,67,67
1485358381,65,65
1485365581,65,65
1485369181,64,64
1485376381,62,62
1485383582,61,61
1485390781,60,60
1485397982,61,61
1485405182,64,64
1485408781,66,66
1485412381,66,66
1485419581,65,65
1485423181,65,65
1485430381,65,65
1485433981,64,64
1485441181,63,63
1485448381,62,62
1485451981,62,62
1485459181,62,62
1485462781,65,65
1485469981,64,64
1485473581,64,64
1485480781,55,55
1485484381,57,57
1485491581,56,56
1485495181,55,55
1485502381,56,56
1485505982,57,57
1485513181,52,52
1485516781,55,55
1485523981,54,54
1485527581,53,53
1485534781,53,53
1485538381,54,54
1485541981,54,54
1485549181,54,54
1485552781,55,55
1485559981,51,51
1485563582,53,53
1485570781,52,52
1485574381,52,52
1485581581,53,53
1485585181,50,50
1485592381,50,50
1485595981,54,54
1485603181,54,54
1485606781,56,56
1485613981,57,57
1485617581,58,58
1485624781,55,55
1485628381,54,54
1485635581,55,55
1485639181,55,55
1485646381,55,55
1485653581,53,53
1485657181,55,55
1485664381,55,55
1485667981,54,54
1485675181,54,54
1485678781,55,55
1485685981,52,52
1485689581,50,50
1485696781,51,51
1485700382,44,44
1485707581,49,49
1485711181,53,53
1485718381,53,53
1485725581,55,55
1485732781,55,55
1485736381,55,55
1485743581,54,54
1485750782,53,53
1485754381,56,56
1485761582,57,57
1485765181,56,56
1485772381,56,56
1485775981,54,54
1485783182,55,55
1485786781,54,54
1485793981,54,54
1485797581,54,54
1485804781,53,53
1485811981,53,53
1485815581,54,54
1485822781,56,56
1485829982,56,56
1485833581,54,54
1485840782,54,54
1485844381,56,56
1485851581,55,55
1485858781,54,54
1485862382,55,55
1485865981,56,56
1485873181,55,55
1485876781,56,56
1485883981,56,56
1485887581,57,57
1485894782,59,59
1485901981,56,56
1485909181,54,54
1485916381,53,53
1485923581,55,55
1485930781,56,56
1485934381,57,57
1485941581,58,58
1485945181,58,58
1485952382,55,55
1485955981,55,55
1485963181,55,55
1485966781,54,54
1485973981,54,54
1485977581,54,54
1485984781,57,57
1485991981,56,56
1485999181,55,55
1486006381,55,55
1486013581,54,54
1486017181,54,54
1486024381,52,52
1486031581,53,53
1486038781,53,53
1486042381,54,54
1486049581,59,59
1486056781,59,59
1486063981,56,56
1486071181,57,57
1486078381,52,52
1486085581,51,51
1486092781,53,53
1486096381,53,53
1486103581,56,56
1486110782,57,57
1486114381,56,56
1486121581,54,54
1486128781,57,57
1486132381,54,54
1486139581,59,59
1486146781,57,57
1486150381,57,57
1486157581,57,57
1486164781,57,57
1486171981,56,56
1486179181,57,57
1486186381,56,56
1486193582,58,58
1486200781,58,58
1486204381,59,59
1486211581,57,57
1486218782,56,56
1486225981,53,53
1486229581,56,56
1486236781,59,59
1486240381,59,59
1486247581,60,60
1486254782,58,58
1486261981,58,58
1486269181,58,58
1486276381,57,57
1486283581,58,58
1486290781,58,58
1486294381,58,58
1486301581,59,59
1486308781,54,54
1486315981,57,57
1486319581,58,58
1486326781,59,59
1486333981,60,60
1486341182,58,58
1486348381,52,52
1486355581,55,55
1486359623,54,54
1486366381,52,52
1486369981,52,52
1486377181,51,51
1486380781,53,53
1486387981,56,56
1486395181,57,57
1486398781,53,53
1486405981,53,53
1486413182,54,54
1486416781,53,53
1486420381,56,56
1486427581,54,54
1486434781,56,56
1486438381,55,55
1486445581,58,58
1486449181,55,55
1486456382,55,55
1486459982,56,56
1486467182,53,53
1486474381,55,55
1486477981,55,55
1486485181,55,55
1486492381,56,56
1486499581,56,56
1486506781,51,51
1486513981,51,51
1486517581,50,50
1486524781,53,53
1486528381,54,54
1486535581,55,55
1486539181,55,55
1486546381,55,55
1486549981,54,54
1486557181,54,54
1486564381,56,56
1486571581,56,56
1486575181,56,56
1486582381,54,54
1486585981,57,57
1486593181,53,53
1486600381,58,58
1486607581,55,55
1486614782,56,56
1486618381,55,55
1486625581,55,55
1486632781,57,57
1486636381,57,57
1486643581,57,57
1486650781,59,59
